PANTHER GO-Slim Biological Process	background_genelist.full.txt - REFLIST (12431)	nonoverlap.noca_only.csv (440)	nonoverlap.noca_only.csv (expected)	nonoverlap.noca_only.csv (over/under)	nonoverlap.noca_only.csv (fold Enrichment)	P-value
positive regulation of cysteine-type endopeptidase activity involved in apoptotic process (GO:0043280)	15	0	0.53	-	 < 0.01	1.00E+00
positive regulation of proteasomal protein catabolic process (GO:1901800)	19	0	0.67	-	 < 0.01	1.00E+00
polysaccharide biosynthetic process (GO:0000271)	9	0	0.32	-	 < 0.01	1.00E+00
lymphocyte mediated immunity (GO:0002449)	2	0	0.07	-	 < 0.01	1.00E+00
leukocyte mediated immunity (GO:0002443)	2	0	0.07	-	 < 0.01	1.00E+00
apoptotic cell clearance (GO:0043277)	5	0	0.18	-	 < 0.01	1.00E+00
nuclear export (GO:0051168)	52	0	1.84	-	 < 0.01	2.64E-01
oligodendrocyte differentiation (GO:0048709)	4	0	0.14	-	 < 0.01	1.00E+00
regulation of lipid biosynthetic process (GO:0046890)	7	0	0.25	-	 < 0.01	1.00E+00
endothelial cell differentiation (GO:0045446)	4	0	0.14	-	 < 0.01	1.00E+00
neutrophil migration (GO:1990266)	3	0	0.11	-	 < 0.01	1.00E+00
fat cell differentiation (GO:0045444)	2	0	0.07	-	 < 0.01	1.00E+00
regulation of establishment of protein localization (GO:0070201)	15	0	0.53	-	 < 0.01	1.00E+00
positive regulation of hormone secretion (GO:0046887)	2	0	0.07	-	 < 0.01	1.00E+00
regulation of potassium ion transport (GO:0043266)	16	0	0.57	-	 < 0.01	1.00E+00
membrane invagination (GO:0010324)	10	0	0.35	-	 < 0.01	1.00E+00
regulation of peptide secretion (GO:0002791)	6	0	0.21	-	 < 0.01	1.00E+00
peptide secretion (GO:0002790)	3	0	0.11	-	 < 0.01	1.00E+00
regulation of hormone secretion (GO:0046883)	8	0	0.28	-	 < 0.01	1.00E+00
glucose 6-phosphate metabolic process (GO:0051156)	10	0	0.35	-	 < 0.01	1.00E+00
nucleotide catabolic process (GO:0009166)	27	0	0.96	-	 < 0.01	1.00E+00
nucleoside catabolic process (GO:0009164)	8	0	0.28	-	 < 0.01	1.00E+00
negative regulation of protein catabolic process (GO:0042177)	11	0	0.39	-	 < 0.01	1.00E+00
regulation of protein catabolic process (GO:0042176)	45	0	1.59	-	 < 0.01	4.10E-01
response to interleukin-1 (GO:0070555)	2	0	0.07	-	 < 0.01	1.00E+00
immune response-activating cell surface receptor signaling pathway (GO:0002429)	31	0	1.1	-	 < 0.01	6.27E-01
actin filament bundle organization (GO:0061572)	21	0	0.74	-	 < 0.01	1.00E+00
hormone secretion (GO:0046879)	3	0	0.11	-	 < 0.01	1.00E+00
striated muscle cell differentiation (GO:0051146)	34	0	1.2	-	 < 0.01	6.33E-01
purine ribonucleotide catabolic process (GO:0009154)	19	0	0.67	-	 < 0.01	1.00E+00
purine ribonucleotide biosynthetic process (GO:0009152)	32	0	1.13	-	 < 0.01	6.29E-01
heme metabolic process (GO:0042168)	10	0	0.35	-	 < 0.01	1.00E+00
positive regulation of cell cycle (GO:0045787)	26	0	0.92	-	 < 0.01	1.00E+00
negative regulation of cell cycle (GO:0045786)	60	0	2.12	-	 < 0.01	2.77E-01
response to fatty acid (GO:0070542)	1	0	0.04	-	 < 0.01	1.00E+00
spliceosomal complex assembly (GO:0000245)	18	0	0.64	-	 < 0.01	1.00E+00
respiratory electron transport chain (GO:0022904)	13	0	0.46	-	 < 0.01	1.00E+00
protein hydroxylation (GO:0018126)	14	0	0.5	-	 < 0.01	1.00E+00
electron transport chain (GO:0022900)	16	0	0.57	-	 < 0.01	1.00E+00
regulation of protein-containing complex disassembly (GO:0043244)	38	0	1.35	-	 < 0.01	6.45E-01
negative regulation of protein-containing complex disassembly (GO:0043242)	27	0	0.96	-	 < 0.01	1.00E+00
purine nucleoside triphosphate biosynthetic process (GO:0009145)	2	0	0.07	-	 < 0.01	1.00E+00
purine nucleoside triphosphate metabolic process (GO:0009144)	22	0	0.78	-	 < 0.01	1.00E+00
chaperone-mediated protein complex assembly (GO:0051131)	4	0	0.14	-	 < 0.01	1.00E+00
negative regulation of blood pressure (GO:0045776)	6	0	0.21	-	 < 0.01	1.00E+00
protein K63-linked deubiquitination (GO:0070536)	7	0	0.25	-	 < 0.01	1.00E+00
protein K63-linked ubiquitination (GO:0070534)	5	0	0.18	-	 < 0.01	1.00E+00
mitochondrial fusion (GO:0008053)	9	0	0.32	-	 < 0.01	1.00E+00
immune response-regulating cell surface receptor signaling pathway (GO:0002768)	33	0	1.17	-	 < 0.01	6.31E-01
negative regulation of NF-kappaB transcription factor activity (GO:0032088)	6	0	0.21	-	 < 0.01	1.00E+00
phosphatidylinositol dephosphorylation (GO:0046856)	26	0	0.92	-	 < 0.01	1.00E+00
intracellular glucose homeostasis (GO:0001678)	6	0	0.21	-	 < 0.01	1.00E+00
regulation of bone remodeling (GO:0046850)	4	0	0.14	-	 < 0.01	1.00E+00
nucleoside diphosphate catabolic process (GO:0009134)	23	0	0.81	-	 < 0.01	1.00E+00
RNA polymerase II preinitiation complex assembly (GO:0051123)	6	0	0.21	-	 < 0.01	1.00E+00
long-chain fatty acid metabolic process (GO:0001676)	11	0	0.39	-	 < 0.01	1.00E+00
nucleoside diphosphate metabolic process (GO:0009132)	26	0	0.92	-	 < 0.01	1.00E+00
tRNA threonylcarbamoyladenosine metabolic process (GO:0070525)	1	0	0.04	-	 < 0.01	1.00E+00
motor neuron axon guidance (GO:0008045)	6	0	0.21	-	 < 0.01	1.00E+00
positive regulation of proteolysis involved in protein catabolic process (GO:1903052)	19	0	0.67	-	 < 0.01	1.00E+00
negative regulation of proteolysis involved in protein catabolic process (GO:1903051)	5	0	0.18	-	 < 0.01	1.00E+00
regulation of proteolysis involved in protein catabolic process (GO:1903050)	33	0	1.17	-	 < 0.01	6.31E-01
peptidyl-tyrosine phosphorylation (GO:0018108)	6	0	0.21	-	 < 0.01	1.00E+00
peptidyl-tyrosine dephosphorylation (GO:0035335)	14	0	0.5	-	 < 0.01	1.00E+00
cytoplasmic pattern recognition receptor signaling pathway (GO:0002753)	4	0	0.14	-	 < 0.01	1.00E+00
skin development (GO:0043588)	3	0	0.11	-	 < 0.01	1.00E+00
ear development (GO:0043583)	2	0	0.07	-	 < 0.01	1.00E+00
response to hypoxia (GO:0001666)	16	0	0.57	-	 < 0.01	1.00E+00
meiotic DNA double-strand break formation (GO:0042138)	3	0	0.11	-	 < 0.01	1.00E+00
regulation of transforming growth factor beta receptor signaling pathway (GO:0017015)	8	0	0.28	-	 < 0.01	1.00E+00
regulation of transcription elongation by RNA polymerase II (GO:0034243)	10	0	0.35	-	 < 0.01	1.00E+00
potassium ion import across plasma membrane (GO:1990573)	31	0	1.1	-	 < 0.01	6.27E-01
negative regulation of T cell proliferation (GO:0042130)	2	0	0.07	-	 < 0.01	1.00E+00
meiotic cell cycle process (GO:1903046)	45	0	1.59	-	 < 0.01	4.10E-01
V(D)J recombination (GO:0033151)	2	0	0.07	-	 < 0.01	1.00E+00
hippo signaling (GO:0035329)	15	0	0.53	-	 < 0.01	1.00E+00
phospholipid dephosphorylation (GO:0046839)	35	0	1.24	-	 < 0.01	6.36E-01
carbohydrate phosphorylation (GO:0046835)	6	0	0.21	-	 < 0.01	1.00E+00
nucleoside metabolic process (GO:0009116)	14	0	0.5	-	 < 0.01	1.00E+00
cellular response to oxidative stress (GO:0034599)	11	0	0.39	-	 < 0.01	1.00E+00
regulation of T cell proliferation (GO:0042129)	3	0	0.11	-	 < 0.01	1.00E+00
nucleobase metabolic process (GO:0009112)	20	0	0.71	-	 < 0.01	1.00E+00
calcium ion import (GO:0070509)	12	0	0.42	-	 < 0.01	1.00E+00
cytochrome complex assembly (GO:0017004)	3	0	0.11	-	 < 0.01	1.00E+00
negative regulation of Notch signaling pathway (GO:0045746)	3	0	0.11	-	 < 0.01	1.00E+00
positive regulation of leukocyte cell-cell adhesion (GO:1903039)	5	0	0.18	-	 < 0.01	1.00E+00
negative regulation of leukocyte cell-cell adhesion (GO:1903038)	4	0	0.14	-	 < 0.01	1.00E+00
regulation of leukocyte cell-cell adhesion (GO:1903037)	8	0	0.28	-	 < 0.01	1.00E+00
sperm motility (GO:0097722)	1	0	0.04	-	 < 0.01	1.00E+00
regulation of endopeptidase activity (GO:0052548)	43	0	1.52	-	 < 0.01	4.06E-01
regulation of peptidase activity (GO:0052547)	44	0	1.56	-	 < 0.01	4.08E-01
response to external biotic stimulus (GO:0043207)	43	0	1.52	-	 < 0.01	4.06E-01
oligopeptide transmembrane transport (GO:0035672)	2	0	0.07	-	 < 0.01	1.00E+00
osteoblast differentiation (GO:0001649)	3	0	0.11	-	 < 0.01	1.00E+00
neutrophil activation (GO:0042119)	2	0	0.07	-	 < 0.01	1.00E+00
positive regulation of DNA repair (GO:0045739)	10	0	0.35	-	 < 0.01	1.00E+00
piRNA processing (GO:0034587)	6	0	0.21	-	 < 0.01	1.00E+00
negative regulation of DNA repair (GO:0045738)	7	0	0.25	-	 < 0.01	1.00E+00
macrophage activation (GO:0042116)	2	0	0.07	-	 < 0.01	1.00E+00
odontogenesis (GO:0042476)	2	0	0.07	-	 < 0.01	1.00E+00
odontogenesis of dentin-containing tooth (GO:0042475)	2	0	0.07	-	 < 0.01	1.00E+00
positive regulation of protein catabolic process (GO:0045732)	26	0	0.92	-	 < 0.01	1.00E+00
T cell activation (GO:0042110)	7	0	0.25	-	 < 0.01	1.00E+00
inner ear morphogenesis (GO:0042472)	2	0	0.07	-	 < 0.01	1.00E+00
chromosome localization (GO:0050000)	13	0	0.46	-	 < 0.01	1.00E+00
"vesicle targeting, trans-Golgi to periciliary membrane compartment (GO:0097712)"	1	0	0.04	-	 < 0.01	1.00E+00
protein localization to cilium (GO:0061512)	13	0	0.46	-	 < 0.01	1.00E+00
centriole elongation (GO:0061511)	1	0	0.04	-	 < 0.01	1.00E+00
antigen processing and presentation (GO:0019882)	3	0	0.11	-	 < 0.01	1.00E+00
sperm axoneme assembly (GO:0007288)	1	0	0.04	-	 < 0.01	1.00E+00
cardiolipin biosynthetic process (GO:0032049)	2	0	0.07	-	 < 0.01	1.00E+00
spermatid development (GO:0007286)	3	0	0.11	-	 < 0.01	1.00E+00
regulation of dephosphorylation (GO:0035303)	8	0	0.28	-	 < 0.01	1.00E+00
spermatogenesis (GO:0007283)	16	0	0.57	-	 < 0.01	1.00E+00
germ cell development (GO:0007281)	16	0	0.57	-	 < 0.01	1.00E+00
mitochondrial DNA metabolic process (GO:0032042)	4	0	0.14	-	 < 0.01	1.00E+00
carbohydrate transmembrane transport (GO:0034219)	10	0	0.35	-	 < 0.01	1.00E+00
negative regulation of G2/M transition of mitotic cell cycle (GO:0010972)	14	0	0.5	-	 < 0.01	1.00E+00
regulation of meiotic cell cycle (GO:0051445)	10	0	0.35	-	 < 0.01	1.00E+00
purine nucleotide catabolic process (GO:0006195)	21	0	0.74	-	 < 0.01	1.00E+00
positive regulation of T cell proliferation (GO:0042102)	2	0	0.07	-	 < 0.01	1.00E+00
eye photoreceptor cell development (GO:0042462)	1	0	0.04	-	 < 0.01	1.00E+00
regulation of cell size (GO:0008361)	16	0	0.57	-	 < 0.01	1.00E+00
regulation of natural killer cell mediated immunity (GO:0002715)	2	0	0.07	-	 < 0.01	1.00E+00
gamete generation (GO:0007276)	27	0	0.96	-	 < 0.01	1.00E+00
regulation of mitotic sister chromatid separation (GO:0010965)	15	0	0.53	-	 < 0.01	1.00E+00
DNA geometric change (GO:0032392)	12	0	0.42	-	 < 0.01	1.00E+00
endothelial cell migration (GO:0043542)	4	0	0.14	-	 < 0.01	1.00E+00
IMP biosynthetic process (GO:0006188)	6	0	0.21	-	 < 0.01	1.00E+00
regulation of transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0090092)	35	0	1.24	-	 < 0.01	6.36E-01
cGMP biosynthetic process (GO:0006182)	4	0	0.14	-	 < 0.01	1.00E+00
response to organic cyclic compound (GO:0014070)	28	0	0.99	-	 < 0.01	6.25E-01
negative regulation of macroautophagy (GO:0016242)	4	0	0.14	-	 < 0.01	1.00E+00
regulation of response to endoplasmic reticulum stress (GO:1905897)	6	0	0.21	-	 < 0.01	1.00E+00
regulation of chromatin organization (GO:1902275)	3	0	0.11	-	 < 0.01	1.00E+00
positive regulation of insulin secretion (GO:0032024)	1	0	0.04	-	 < 0.01	1.00E+00
regulation of peptide transport (GO:0090087)	6	0	0.21	-	 < 0.01	1.00E+00
tyrosine phosphorylation of STAT protein (GO:0007260)	1	0	0.04	-	 < 0.01	1.00E+00
positive regulation of peptidase activity (GO:0010952)	20	0	0.71	-	 < 0.01	1.00E+00
negative regulation of endopeptidase activity (GO:0010951)	24	0	0.85	-	 < 0.01	1.00E+00
positive regulation of endopeptidase activity (GO:0010950)	19	0	0.67	-	 < 0.01	1.00E+00
negative regulation of nuclear division (GO:0051784)	13	0	0.46	-	 < 0.01	1.00E+00
replication fork processing (GO:0031297)	14	0	0.5	-	 < 0.01	1.00E+00
regulation of nuclear division (GO:0051783)	27	0	0.96	-	 < 0.01	1.00E+00
regulation of ERBB signaling pathway (GO:1901184)	11	0	0.39	-	 < 0.01	1.00E+00
hormone biosynthetic process (GO:0042446)	1	0	0.04	-	 < 0.01	1.00E+00
positive regulation of cell division (GO:0051781)	3	0	0.11	-	 < 0.01	1.00E+00
mitochondrial respiratory chain complex III assembly (GO:0034551)	2	0	0.07	-	 < 0.01	1.00E+00
mitochondrial respiratory chain complex assembly (GO:0033108)	12	0	0.42	-	 < 0.01	1.00E+00
pigment metabolic process (GO:0042440)	15	0	0.53	-	 < 0.01	1.00E+00
antimicrobial humoral immune response mediated by antimicrobial peptide (GO:0061844)	1	0	0.04	-	 < 0.01	1.00E+00
telomere capping (GO:0016233)	3	0	0.11	-	 < 0.01	1.00E+00
receptor signaling pathway via JAK-STAT (GO:0007259)	11	0	0.39	-	 < 0.01	1.00E+00
JNK cascade (GO:0007254)	6	0	0.21	-	 < 0.01	1.00E+00
negative regulation of cell cycle process (GO:0010948)	50	0	1.77	-	 < 0.01	4.24E-01
positive regulation of protein serine/threonine kinase activity (GO:0071902)	12	0	0.42	-	 < 0.01	1.00E+00
positive regulation of cytokine-mediated signaling pathway (GO:0001961)	3	0	0.11	-	 < 0.01	1.00E+00
acetylcholine receptor signaling pathway (GO:0095500)	23	0	0.81	-	 < 0.01	1.00E+00
snRNA transcription by RNA polymerase II (GO:0042795)	6	0	0.21	-	 < 0.01	1.00E+00
negative regulation of cyclase activity (GO:0031280)	2	0	0.07	-	 < 0.01	1.00E+00
collagen fibril organization (GO:0030199)	11	0	0.39	-	 < 0.01	1.00E+00
endosome to lysosome transport (GO:0008333)	14	0	0.5	-	 < 0.01	1.00E+00
regulation of mRNA processing (GO:0050684)	37	0	1.31	-	 < 0.01	6.42E-01
iron-sulfur cluster assembly (GO:0016226)	10	0	0.35	-	 < 0.01	1.00E+00
nucleolar large rRNA transcription by RNA polymerase I (GO:0042790)	6	0	0.21	-	 < 0.01	1.00E+00
canonical NF-kappaB signal transduction (GO:0007249)	5	0	0.18	-	 < 0.01	1.00E+00
non-motile cilium assembly (GO:1905515)	16	0	0.57	-	 < 0.01	1.00E+00
intracellular cholesterol transport (GO:0032367)	1	0	0.04	-	 < 0.01	1.00E+00
intracellular sterol transport (GO:0032366)	4	0	0.14	-	 < 0.01	1.00E+00
intracellular lipid transport (GO:0032365)	6	0	0.21	-	 < 0.01	1.00E+00
positive regulation of cell cycle process (GO:0090068)	25	0	0.88	-	 < 0.01	1.00E+00
neuron apoptotic process (GO:0051402)	4	0	0.14	-	 < 0.01	1.00E+00
response to UV (GO:0009411)	9	0	0.32	-	 < 0.01	1.00E+00
purine nucleoside catabolic process (GO:0006152)	3	0	0.11	-	 < 0.01	1.00E+00
regulation of cell-matrix adhesion (GO:0001952)	4	0	0.14	-	 < 0.01	1.00E+00
tRNA 3'-end processing (GO:0042780)	1	0	0.04	-	 < 0.01	1.00E+00
epithelial cell proliferation (GO:0050673)	2	0	0.07	-	 < 0.01	1.00E+00
regulation of lymphocyte proliferation (GO:0050670)	5	0	0.18	-	 < 0.01	1.00E+00
cellular component assembly involved in morphogenesis (GO:0010927)	26	0	0.92	-	 < 0.01	1.00E+00
developmental pigmentation (GO:0048066)	8	0	0.28	-	 < 0.01	1.00E+00
response to cold (GO:0009409)	1	0	0.04	-	 < 0.01	1.00E+00
response to heat (GO:0009408)	11	0	0.39	-	 < 0.01	1.00E+00
regulation of phosphatase activity (GO:0010921)	6	0	0.21	-	 < 0.01	1.00E+00
purine nucleobase metabolic process (GO:0006144)	11	0	0.39	-	 < 0.01	1.00E+00
mitochondrial ATP synthesis coupled electron transport (GO:0042775)	6	0	0.21	-	 < 0.01	1.00E+00
ATP synthesis coupled electron transport (GO:0042773)	6	0	0.21	-	 < 0.01	1.00E+00
signal transduction in response to DNA damage (GO:0042770)	22	0	0.78	-	 < 0.01	1.00E+00
digestion (GO:0007586)	1	0	0.04	-	 < 0.01	1.00E+00
endothelial cell proliferation (GO:0001935)	2	0	0.07	-	 < 0.01	1.00E+00
RNA transport (GO:0050658)	41	0	1.45	-	 < 0.01	4.04E-01
nucleic acid transport (GO:0050657)	41	0	1.45	-	 < 0.01	4.04E-01
protein import into peroxisome matrix (GO:0016558)	11	0	0.39	-	 < 0.01	1.00E+00
isoprenoid catabolic process (GO:0008300)	4	0	0.14	-	 < 0.01	1.00E+00
mRNA modification (GO:0016556)	8	0	0.28	-	 < 0.01	1.00E+00
neuropeptide signaling pathway (GO:0007218)	33	0	1.17	-	 < 0.01	6.31E-01
regulation of proteolysis (GO:0030162)	82	0	2.9	-	 < 0.01	1.22E-01
glutamate receptor signaling pathway (GO:0007215)	11	0	0.39	-	 < 0.01	1.00E+00
dopamine receptor signaling pathway (GO:0007212)	6	0	0.21	-	 < 0.01	1.00E+00
response to glucose (GO:0009749)	4	0	0.14	-	 < 0.01	1.00E+00
"mitochondrial electron transport, succinate to ubiquinone (GO:0006121)"	1	0	0.04	-	 < 0.01	1.00E+00
"mitochondrial electron transport, NADH to ubiquinone (GO:0006120)"	3	0	0.11	-	 < 0.01	1.00E+00
protein localization to kinetochore (GO:0034501)	5	0	0.18	-	 < 0.01	1.00E+00
regulation of circadian rhythm (GO:0042752)	8	0	0.28	-	 < 0.01	1.00E+00
amino acid biosynthetic process (GO:0008652)	25	0	0.88	-	 < 0.01	1.00E+00
protein import into mitochondrial matrix (GO:0030150)	9	0	0.32	-	 < 0.01	1.00E+00
alanine transport (GO:0032328)	3	0	0.11	-	 < 0.01	1.00E+00
positive regulation of cytosolic calcium ion concentration (GO:0007204)	18	0	0.64	-	 < 0.01	1.00E+00
phospholipase C-activating G protein-coupled receptor signaling pathway (GO:0007200)	27	0	0.96	-	 < 0.01	1.00E+00
oxidative phosphorylation (GO:0006119)	6	0	0.21	-	 < 0.01	1.00E+00
energy reserve metabolic process (GO:0006112)	6	0	0.21	-	 < 0.01	1.00E+00
protein acetylation (GO:0006473)	5	0	0.18	-	 < 0.01	1.00E+00
regulation of leukocyte mediated cytotoxicity (GO:0001910)	2	0	0.07	-	 < 0.01	1.00E+00
sphingolipid catabolic process (GO:0030149)	11	0	0.39	-	 < 0.01	1.00E+00
defense response to bacterium (GO:0042742)	5	0	0.18	-	 < 0.01	1.00E+00
carbohydrate transport (GO:0008643)	10	0	0.35	-	 < 0.01	1.00E+00
"regulation of mRNA splicing, via spliceosome (GO:0048024)"	31	0	1.1	-	 < 0.01	6.27E-01
signal peptide processing (GO:0006465)	5	0	0.18	-	 < 0.01	1.00E+00
proteinogenic amino acid biosynthetic process (GO:0170038)	23	0	0.81	-	 < 0.01	1.00E+00
detection of mechanical stimulus (GO:0050982)	9	0	0.32	-	 < 0.01	1.00E+00
L-amino acid biosynthetic process (GO:0170034)	23	0	0.81	-	 < 0.01	1.00E+00
negative regulation of chromosome separation (GO:1905819)	9	0	0.32	-	 < 0.01	1.00E+00
sex differentiation (GO:0007548)	7	0	0.25	-	 < 0.01	1.00E+00
regulation of chromosome separation (GO:1905818)	15	0	0.53	-	 < 0.01	1.00E+00
response to other organism (GO:0051707)	43	0	1.52	-	 < 0.01	4.06E-01
vascular endothelial growth factor receptor signaling pathway (GO:0048010)	9	0	0.32	-	 < 0.01	1.00E+00
biological process involved in interaction with host (GO:0051701)	1	0	0.04	-	 < 0.01	1.00E+00
RNA decapping (GO:0110154)	9	0	0.32	-	 < 0.01	1.00E+00
biomineral tissue development (GO:0031214)	4	0	0.14	-	 < 0.01	1.00E+00
mitotic intra-S DNA damage checkpoint signaling (GO:0031573)	4	0	0.14	-	 < 0.01	1.00E+00
DNA integrity checkpoint signaling (GO:0031570)	25	0	0.88	-	 < 0.01	1.00E+00
extrinsic apoptotic signaling pathway via death domain receptors (GO:0008625)	3	0	0.11	-	 < 0.01	1.00E+00
insulin-like growth factor receptor signaling pathway (GO:0048009)	5	0	0.18	-	 < 0.01	1.00E+00
regulation of translational initiation (GO:0006446)	14	0	0.5	-	 < 0.01	1.00E+00
nucleotide-sugar transmembrane transport (GO:0015780)	6	0	0.21	-	 < 0.01	1.00E+00
"post-translational protein targeting to membrane, translocation (GO:0031204)"	5	0	0.18	-	 < 0.01	1.00E+00
neuromuscular junction development (GO:0007528)	9	0	0.32	-	 < 0.01	1.00E+00
attachment of spindle microtubules to kinetochore (GO:0008608)	7	0	0.25	-	 < 0.01	1.00E+00
organelle transport along microtubule (GO:0072384)	26	0	0.92	-	 < 0.01	1.00E+00
sensory perception of mechanical stimulus (GO:0050954)	12	0	0.42	-	 < 0.01	1.00E+00
positive regulation of cysteine-type endopeptidase activity (GO:2001056)	17	0	0.6	-	 < 0.01	1.00E+00
innate immune response (GO:0045087)	27	0	0.96	-	 < 0.01	1.00E+00
negative regulation of proteasomal protein catabolic process (GO:1901799)	5	0	0.18	-	 < 0.01	1.00E+00
heme biosynthetic process (GO:0006783)	7	0	0.25	-	 < 0.01	1.00E+00
mitochondrial respiratory chain complex I assembly (GO:0032981)	7	0	0.25	-	 < 0.01	1.00E+00
mesoderm morphogenesis (GO:0048332)	7	0	0.25	-	 < 0.01	1.00E+00
porphyrin-containing compound metabolic process (GO:0006778)	12	0	0.42	-	 < 0.01	1.00E+00
translational termination (GO:0006415)	3	0	0.11	-	 < 0.01	1.00E+00
chromosome organization involved in meiotic cell cycle (GO:0070192)	11	0	0.39	-	 < 0.01	1.00E+00
succinate transport (GO:0015744)	3	0	0.11	-	 < 0.01	1.00E+00
mRNA export from nucleus (GO:0006406)	28	0	0.99	-	 < 0.01	6.25E-01
C4-dicarboxylate transport (GO:0015740)	13	0	0.46	-	 < 0.01	1.00E+00
RNA export from nucleus (GO:0006405)	36	0	1.27	-	 < 0.01	6.39E-01
RNA localization (GO:0006403)	44	0	1.56	-	 < 0.01	4.08E-01
folic acid-containing compound metabolic process (GO:0006760)	13	0	0.46	-	 < 0.01	1.00E+00
pigment biosynthetic process (GO:0046148)	12	0	0.42	-	 < 0.01	1.00E+00
positive regulation of chemotaxis (GO:0050921)	7	0	0.25	-	 < 0.01	1.00E+00
regulation of chemotaxis (GO:0050920)	7	0	0.25	-	 < 0.01	1.00E+00
positive regulation of transcription elongation by RNA polymerase II (GO:0032968)	7	0	0.25	-	 < 0.01	1.00E+00
mitotic spindle assembly (GO:0090307)	13	0	0.46	-	 < 0.01	1.00E+00
regulated exocytosis (GO:0045055)	34	0	1.2	-	 < 0.01	6.33E-01
axon extension (GO:0048675)	2	0	0.07	-	 < 0.01	1.00E+00
microtubule cytoskeleton organization involved in mitosis (GO:1902850)	43	0	1.52	-	 < 0.01	4.06E-01
ATP biosynthetic process (GO:0006754)	1	0	0.04	-	 < 0.01	1.00E+00
sensory perception of bitter taste (GO:0050913)	1	0	0.04	-	 < 0.01	1.00E+00
detection of chemical stimulus involved in sensory perception of taste (GO:0050912)	1	0	0.04	-	 < 0.01	1.00E+00
"chemical synaptic transmission, postsynaptic (GO:0099565)"	4	0	0.14	-	 < 0.01	1.00E+00
sprouting angiogenesis (GO:0002040)	8	0	0.28	-	 < 0.01	1.00E+00
protein insertion into ER membrane (GO:0045048)	4	0	0.14	-	 < 0.01	1.00E+00
bile acid and bile salt transport (GO:0015721)	5	0	0.18	-	 < 0.01	1.00E+00
protein-containing complex localization (GO:0031503)	57	0	2.02	-	 < 0.01	2.70E-01
sensory perception of taste (GO:0050909)	2	0	0.07	-	 < 0.01	1.00E+00
detection of chemical stimulus involved in sensory perception (GO:0050907)	2	0	0.07	-	 < 0.01	1.00E+00
monocarboxylic acid biosynthetic process (GO:0072330)	28	0	0.99	-	 < 0.01	6.25E-01
leukocyte migration (GO:0050900)	8	0	0.28	-	 < 0.01	1.00E+00
monocarboxylic acid transport (GO:0015718)	35	0	1.24	-	 < 0.01	6.36E-01
protein insertion into mitochondrial inner membrane (GO:0045039)	3	0	0.11	-	 < 0.01	1.00E+00
regulation of mononuclear cell proliferation (GO:0032944)	5	0	0.18	-	 < 0.01	1.00E+00
mononuclear cell proliferation (GO:0032943)	1	0	0.04	-	 < 0.01	1.00E+00
NADP metabolic process (GO:0006739)	6	0	0.21	-	 < 0.01	1.00E+00
monocarboxylic acid catabolic process (GO:0072329)	36	0	1.27	-	 < 0.01	6.39E-01
SREBP signaling pathway (GO:0032933)	6	0	0.21	-	 < 0.01	1.00E+00
early endosome to late endosome transport (GO:0045022)	4	0	0.14	-	 < 0.01	1.00E+00
activation of GTPase activity (GO:0090630)	36	0	1.27	-	 < 0.01	6.39E-01
lymphocyte migration (GO:0072676)	2	0	0.07	-	 < 0.01	1.00E+00
monosaccharide metabolic process (GO:0005996)	28	0	0.99	-	 < 0.01	6.25E-01
regulation of postsynaptic membrane potential (GO:0060078)	11	0	0.39	-	 < 0.01	1.00E+00
acylglycerol catabolic process (GO:0046464)	9	0	0.32	-	 < 0.01	1.00E+00
cellular response to lipopolysaccharide (GO:0071222)	9	0	0.32	-	 < 0.01	1.00E+00
neutral lipid catabolic process (GO:0046461)	9	0	0.32	-	 < 0.01	1.00E+00
activin receptor signaling pathway (GO:0032924)	4	0	0.14	-	 < 0.01	1.00E+00
circadian regulation of gene expression (GO:0032922)	20	0	0.71	-	 < 0.01	1.00E+00
positive regulation of NF-kappaB transcription factor activity (GO:0051092)	11	0	0.39	-	 < 0.01	1.00E+00
positive regulation of DNA-binding transcription factor activity (GO:0051091)	17	0	0.6	-	 < 0.01	1.00E+00
regulation of DNA-binding transcription factor activity (GO:0051090)	25	0	0.88	-	 < 0.01	1.00E+00
morphogenesis of an epithelium (GO:0002009)	13	0	0.46	-	 < 0.01	1.00E+00
establishment of protein localization to vacuole (GO:0072666)	24	0	0.85	-	 < 0.01	1.00E+00
autophagosome maturation (GO:0097352)	10	0	0.35	-	 < 0.01	1.00E+00
protein localization to vacuole (GO:0072665)	26	0	0.92	-	 < 0.01	1.00E+00
leukocyte activation involved in immune response (GO:0002366)	4	0	0.14	-	 < 0.01	1.00E+00
TORC2 signaling (GO:0038203)	5	0	0.18	-	 < 0.01	1.00E+00
cellular response to molecule of bacterial origin (GO:0071219)	9	0	0.32	-	 < 0.01	1.00E+00
TORC1 signaling (GO:0038202)	1	0	0.04	-	 < 0.01	1.00E+00
icosanoid biosynthetic process (GO:0046456)	7	0	0.25	-	 < 0.01	1.00E+00
cellular response to biotic stimulus (GO:0071216)	9	0	0.32	-	 < 0.01	1.00E+00
positive regulation of cell cycle G1/S phase transition (GO:1902808)	8	0	0.28	-	 < 0.01	1.00E+00
leucine biosynthetic process (GO:0009098)	1	0	0.04	-	 < 0.01	1.00E+00
regulation of cell cycle G1/S phase transition (GO:1902806)	18	0	0.64	-	 < 0.01	1.00E+00
