PANTHER GO-Slim Biological Process	background_genelist.full.txt - REFLIST (12732)	noca.fst.50000kb.genenames_filtered.txt (356)	noca.fst.50000kb.genenames_filtered.txt (expected)	noca.fst.50000kb.genenames_filtered.txt (over/under)	noca.fst.50000kb.genenames_filtered.txt (fold Enrichment)	P-value
regulation of transcription elongation by RNA polymerase II (GO:0034243)	11	0	0.31	-	 < 0.01	1.00E+00
potassium ion import across plasma membrane (GO:1990573)	31	0	0.87	-	 < 0.01	1.00E+00
negative regulation of T cell proliferation (GO:0042130)	2	0	0.06	-	 < 0.01	1.00E+00
V(D)J recombination (GO:0033151)	2	0	0.06	-	 < 0.01	1.00E+00
hippo signaling (GO:0035329)	15	0	0.42	-	 < 0.01	1.00E+00
phospholipid dephosphorylation (GO:0046839)	36	0	1.01	-	 < 0.01	6.26E-01
carbohydrate phosphorylation (GO:0046835)	6	0	0.17	-	 < 0.01	1.00E+00
nucleoside metabolic process (GO:0009116)	14	0	0.39	-	 < 0.01	1.00E+00
cellular response to oxidative stress (GO:0034599)	11	0	0.31	-	 < 0.01	1.00E+00
regulation of T cell proliferation (GO:0042129)	3	0	0.08	-	 < 0.01	1.00E+00
nucleobase metabolic process (GO:0009112)	20	0	0.56	-	 < 0.01	1.00E+00
eye development (GO:0001654)	34	0	0.95	-	 < 0.01	1.00E+00
cytochrome complex assembly (GO:0017004)	3	0	0.08	-	 < 0.01	1.00E+00
negative regulation of Notch signaling pathway (GO:0045746)	3	0	0.08	-	 < 0.01	1.00E+00
positive regulation of leukocyte cell-cell adhesion (GO:1903039)	5	0	0.14	-	 < 0.01	1.00E+00
negative regulation of leukocyte cell-cell adhesion (GO:1903038)	4	0	0.11	-	 < 0.01	1.00E+00
regulation of leukocyte cell-cell adhesion (GO:1903037)	8	0	0.22	-	 < 0.01	1.00E+00
regulation of response to wounding (GO:1903034)	7	0	0.2	-	 < 0.01	1.00E+00
sperm motility (GO:0097722)	1	0	0.03	-	 < 0.01	1.00E+00
regulation of endopeptidase activity (GO:0052548)	43	0	1.2	-	 < 0.01	6.34E-01
calcineurin-mediated signaling (GO:0097720)	7	0	0.2	-	 < 0.01	1.00E+00
regulation of peptidase activity (GO:0052547)	44	0	1.23	-	 < 0.01	6.36E-01
response to external biotic stimulus (GO:0043207)	45	0	1.26	-	 < 0.01	6.38E-01
oligopeptide transmembrane transport (GO:0035672)	2	0	0.06	-	 < 0.01	1.00E+00
osteoblast differentiation (GO:0001649)	5	0	0.14	-	 < 0.01	1.00E+00
neutrophil activation (GO:0042119)	2	0	0.06	-	 < 0.01	1.00E+00
positive regulation of DNA repair (GO:0045739)	10	0	0.28	-	 < 0.01	1.00E+00
piRNA processing (GO:0034587)	8	0	0.22	-	 < 0.01	1.00E+00
negative regulation of DNA repair (GO:0045738)	7	0	0.2	-	 < 0.01	1.00E+00
macrophage activation (GO:0042116)	2	0	0.06	-	 < 0.01	1.00E+00
odontogenesis (GO:0042476)	2	0	0.06	-	 < 0.01	1.00E+00
odontogenesis of dentin-containing tooth (GO:0042475)	2	0	0.06	-	 < 0.01	1.00E+00
positive regulation of protein catabolic process (GO:0045732)	26	0	0.73	-	 < 0.01	1.00E+00
T cell activation (GO:0042110)	7	0	0.2	-	 < 0.01	1.00E+00
inner ear morphogenesis (GO:0042472)	2	0	0.06	-	 < 0.01	1.00E+00
chromosome localization (GO:0050000)	13	0	0.36	-	 < 0.01	1.00E+00
"vesicle targeting, trans-Golgi to periciliary membrane compartment (GO:0097712)"	1	0	0.03	-	 < 0.01	1.00E+00
protein localization to cilium (GO:0061512)	15	0	0.42	-	 < 0.01	1.00E+00
centriole elongation (GO:0061511)	1	0	0.03	-	 < 0.01	1.00E+00
antigen processing and presentation (GO:0019882)	3	0	0.08	-	 < 0.01	1.00E+00
sperm axoneme assembly (GO:0007288)	1	0	0.03	-	 < 0.01	1.00E+00
cardiolipin biosynthetic process (GO:0032049)	2	0	0.06	-	 < 0.01	1.00E+00
spermatid development (GO:0007286)	4	0	0.11	-	 < 0.01	1.00E+00
regulation of dephosphorylation (GO:0035303)	9	0	0.25	-	 < 0.01	1.00E+00
spermatogenesis (GO:0007283)	19	0	0.53	-	 < 0.01	1.00E+00
germ cell development (GO:0007281)	19	0	0.53	-	 < 0.01	1.00E+00
mitochondrial DNA metabolic process (GO:0032042)	4	0	0.11	-	 < 0.01	1.00E+00
carbohydrate transmembrane transport (GO:0034219)	10	0	0.28	-	 < 0.01	1.00E+00
negative regulation of G2/M transition of mitotic cell cycle (GO:0010972)	15	0	0.42	-	 < 0.01	1.00E+00
purine nucleotide catabolic process (GO:0006195)	21	0	0.59	-	 < 0.01	1.00E+00
positive regulation of translation (GO:0045727)	21	0	0.59	-	 < 0.01	1.00E+00
positive regulation of T cell proliferation (GO:0042102)	2	0	0.06	-	 < 0.01	1.00E+00
eye photoreceptor cell development (GO:0042462)	1	0	0.03	-	 < 0.01	1.00E+00
regulation of cell size (GO:0008361)	16	0	0.45	-	 < 0.01	1.00E+00
regulation of natural killer cell mediated immunity (GO:0002715)	2	0	0.06	-	 < 0.01	1.00E+00
gamete generation (GO:0007276)	30	0	0.84	-	 < 0.01	1.00E+00
regulation of mitotic sister chromatid separation (GO:0010965)	15	0	0.42	-	 < 0.01	1.00E+00
DNA geometric change (GO:0032392)	12	0	0.34	-	 < 0.01	1.00E+00
endothelial cell migration (GO:0043542)	4	0	0.11	-	 < 0.01	1.00E+00
IMP biosynthetic process (GO:0006188)	6	0	0.17	-	 < 0.01	1.00E+00
regulation of transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0090092)	35	0	0.98	-	 < 0.01	6.26E-01
cGMP biosynthetic process (GO:0006182)	5	0	0.14	-	 < 0.01	1.00E+00
response to organic cyclic compound (GO:0014070)	28	0	0.78	-	 < 0.01	1.00E+00
negative regulation of macroautophagy (GO:0016242)	4	0	0.11	-	 < 0.01	1.00E+00
regulation of lymphocyte mediated immunity (GO:0002706)	5	0	0.14	-	 < 0.01	1.00E+00
regulation of response to endoplasmic reticulum stress (GO:1905897)	6	0	0.17	-	 < 0.01	1.00E+00
regulation of leukocyte mediated immunity (GO:0002703)	5	0	0.14	-	 < 0.01	1.00E+00
regulation of chromatin organization (GO:1902275)	4	0	0.11	-	 < 0.01	1.00E+00
positive regulation of insulin secretion (GO:0032024)	1	0	0.03	-	 < 0.01	1.00E+00
regulation of peptide transport (GO:0090087)	6	0	0.17	-	 < 0.01	1.00E+00
tyrosine phosphorylation of STAT protein (GO:0007260)	1	0	0.03	-	 < 0.01	1.00E+00
positive regulation of peptidase activity (GO:0010952)	20	0	0.56	-	 < 0.01	1.00E+00
negative regulation of endopeptidase activity (GO:0010951)	24	0	0.67	-	 < 0.01	1.00E+00
positive regulation of endopeptidase activity (GO:0010950)	19	0	0.53	-	 < 0.01	1.00E+00
replication fork processing (GO:0031297)	14	0	0.39	-	 < 0.01	1.00E+00
regulation of ERBB signaling pathway (GO:1901184)	12	0	0.34	-	 < 0.01	1.00E+00
hormone biosynthetic process (GO:0042446)	1	0	0.03	-	 < 0.01	1.00E+00
positive regulation of cell division (GO:0051781)	3	0	0.08	-	 < 0.01	1.00E+00
mitochondrial respiratory chain complex III assembly (GO:0034551)	2	0	0.06	-	 < 0.01	1.00E+00
mitochondrial respiratory chain complex assembly (GO:0033108)	12	0	0.34	-	 < 0.01	1.00E+00
pigment metabolic process (GO:0042440)	15	0	0.42	-	 < 0.01	1.00E+00
antimicrobial humoral immune response mediated by antimicrobial peptide (GO:0061844)	1	0	0.03	-	 < 0.01	1.00E+00
telomere capping (GO:0016233)	3	0	0.08	-	 < 0.01	1.00E+00
receptor signaling pathway via JAK-STAT (GO:0007259)	11	0	0.31	-	 < 0.01	1.00E+00
JNK cascade (GO:0007254)	6	0	0.17	-	 < 0.01	1.00E+00
positive regulation of protein serine/threonine kinase activity (GO:0071902)	12	0	0.34	-	 < 0.01	1.00E+00
purine nucleotide biosynthetic process (GO:0006164)	49	0	1.37	-	 < 0.01	6.48E-01
positive regulation of cytokine-mediated signaling pathway (GO:0001961)	3	0	0.08	-	 < 0.01	1.00E+00
acetylcholine receptor signaling pathway (GO:0095500)	25	0	0.7	-	 < 0.01	1.00E+00
snRNA transcription by RNA polymerase II (GO:0042795)	7	0	0.2	-	 < 0.01	1.00E+00
negative regulation of cyclase activity (GO:0031280)	2	0	0.06	-	 < 0.01	1.00E+00
collagen fibril organization (GO:0030199)	11	0	0.31	-	 < 0.01	1.00E+00
endosome to lysosome transport (GO:0008333)	14	0	0.39	-	 < 0.01	1.00E+00
regulation of mRNA processing (GO:0050684)	39	0	1.09	-	 < 0.01	6.28E-01
iron-sulfur cluster assembly (GO:0016226)	11	0	0.31	-	 < 0.01	1.00E+00
nucleolar large rRNA transcription by RNA polymerase I (GO:0042790)	6	0	0.17	-	 < 0.01	1.00E+00
negative regulation of blood coagulation (GO:0030195)	4	0	0.11	-	 < 0.01	1.00E+00
canonical NF-kappaB signal transduction (GO:0007249)	5	0	0.14	-	 < 0.01	1.00E+00
positive regulation of TOR signaling (GO:0032008)	15	0	0.42	-	 < 0.01	1.00E+00
non-motile cilium assembly (GO:1905515)	16	0	0.45	-	 < 0.01	1.00E+00
intracellular cholesterol transport (GO:0032367)	1	0	0.03	-	 < 0.01	1.00E+00
intracellular sterol transport (GO:0032366)	4	0	0.11	-	 < 0.01	1.00E+00
intracellular lipid transport (GO:0032365)	6	0	0.17	-	 < 0.01	1.00E+00
positive regulation of cell cycle process (GO:0090068)	26	0	0.73	-	 < 0.01	1.00E+00
neuron apoptotic process (GO:0051402)	4	0	0.11	-	 < 0.01	1.00E+00
response to UV (GO:0009411)	9	0	0.25	-	 < 0.01	1.00E+00
purine nucleoside catabolic process (GO:0006152)	3	0	0.08	-	 < 0.01	1.00E+00
regulation of cell-matrix adhesion (GO:0001952)	4	0	0.11	-	 < 0.01	1.00E+00
tRNA 3'-end processing (GO:0042780)	1	0	0.03	-	 < 0.01	1.00E+00
epithelial cell proliferation (GO:0050673)	2	0	0.06	-	 < 0.01	1.00E+00
regulation of lymphocyte proliferation (GO:0050670)	5	0	0.14	-	 < 0.01	1.00E+00
hemostasis (GO:0007599)	9	0	0.25	-	 < 0.01	1.00E+00
blood coagulation (GO:0007596)	9	0	0.25	-	 < 0.01	1.00E+00
cellular component assembly involved in morphogenesis (GO:0010927)	27	0	0.75	-	 < 0.01	1.00E+00
developmental pigmentation (GO:0048066)	8	0	0.22	-	 < 0.01	1.00E+00
response to cold (GO:0009409)	1	0	0.03	-	 < 0.01	1.00E+00
response to heat (GO:0009408)	11	0	0.31	-	 < 0.01	1.00E+00
regulation of phosphatase activity (GO:0010921)	6	0	0.17	-	 < 0.01	1.00E+00
purine nucleobase metabolic process (GO:0006144)	11	0	0.31	-	 < 0.01	1.00E+00
mitochondrial ATP synthesis coupled electron transport (GO:0042775)	6	0	0.17	-	 < 0.01	1.00E+00
ATP synthesis coupled electron transport (GO:0042773)	6	0	0.17	-	 < 0.01	1.00E+00
intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator (GO:0042771)	4	0	0.11	-	 < 0.01	1.00E+00
signal transduction in response to DNA damage (GO:0042770)	22	0	0.62	-	 < 0.01	1.00E+00
integrin-mediated signaling pathway (GO:0007229)	30	0	0.84	-	 < 0.01	1.00E+00
digestion (GO:0007586)	2	0	0.06	-	 < 0.01	1.00E+00
cellular response to topologically incorrect protein (GO:0035967)	27	0	0.75	-	 < 0.01	1.00E+00
response to topologically incorrect protein (GO:0035966)	27	0	0.75	-	 < 0.01	1.00E+00
endothelial cell proliferation (GO:0001935)	2	0	0.06	-	 < 0.01	1.00E+00
negative regulation of protein phosphorylation (GO:0001933)	33	0	0.92	-	 < 0.01	1.00E+00
protein O-linked glycosylation (GO:0006493)	40	0	1.12	-	 < 0.01	6.29E-01
RNA transport (GO:0050658)	41	0	1.15	-	 < 0.01	6.31E-01
nucleic acid transport (GO:0050657)	41	0	1.15	-	 < 0.01	6.31E-01
platelet activation (GO:0030168)	6	0	0.17	-	 < 0.01	1.00E+00
protein import into peroxisome matrix (GO:0016558)	11	0	0.31	-	 < 0.01	1.00E+00
isoprenoid catabolic process (GO:0008300)	4	0	0.11	-	 < 0.01	1.00E+00
mRNA modification (GO:0016556)	8	0	0.22	-	 < 0.01	1.00E+00
neuropeptide signaling pathway (GO:0007218)	34	0	0.95	-	 < 0.01	1.00E+00
regulation of proteolysis (GO:0030162)	82	0	2.29	-	 < 0.01	1.76E-01
glutamate receptor signaling pathway (GO:0007215)	12	0	0.34	-	 < 0.01	1.00E+00
dopamine receptor signaling pathway (GO:0007212)	6	0	0.17	-	 < 0.01	1.00E+00
response to glucose (GO:0009749)	4	0	0.11	-	 < 0.01	1.00E+00
carbohydrate derivative catabolic process (GO:1901136)	60	0	1.68	-	 < 0.01	4.17E-01
"mitochondrial electron transport, succinate to ubiquinone (GO:0006121)"	1	0	0.03	-	 < 0.01	1.00E+00
"mitochondrial electron transport, NADH to ubiquinone (GO:0006120)"	3	0	0.08	-	 < 0.01	1.00E+00
protein localization to kinetochore (GO:0034501)	5	0	0.14	-	 < 0.01	1.00E+00
regulation of circadian rhythm (GO:0042752)	8	0	0.22	-	 < 0.01	1.00E+00
amino acid biosynthetic process (GO:0008652)	25	0	0.7	-	 < 0.01	1.00E+00
protein import into mitochondrial matrix (GO:0030150)	10	0	0.28	-	 < 0.01	1.00E+00
alanine transport (GO:0032328)	3	0	0.08	-	 < 0.01	1.00E+00
phospholipase C-activating G protein-coupled receptor signaling pathway (GO:0007200)	27	0	0.75	-	 < 0.01	1.00E+00
oxidative phosphorylation (GO:0006119)	6	0	0.17	-	 < 0.01	1.00E+00
energy reserve metabolic process (GO:0006112)	6	0	0.17	-	 < 0.01	1.00E+00
protein acetylation (GO:0006473)	6	0	0.17	-	 < 0.01	1.00E+00
regulation of leukocyte mediated cytotoxicity (GO:0001910)	2	0	0.06	-	 < 0.01	1.00E+00
protein dephosphorylation (GO:0006470)	50	0	1.4	-	 < 0.01	4.05E-01
sphingolipid catabolic process (GO:0030149)	12	0	0.34	-	 < 0.01	1.00E+00
defense response to bacterium (GO:0042742)	5	0	0.14	-	 < 0.01	1.00E+00
carbohydrate transport (GO:0008643)	10	0	0.28	-	 < 0.01	1.00E+00
"regulation of mRNA splicing, via spliceosome (GO:0048024)"	33	0	0.92	-	 < 0.01	1.00E+00
negative regulation of protein kinase activity (GO:0006469)	31	0	0.87	-	 < 0.01	1.00E+00
cell-substrate adhesion (GO:0031589)	48	0	1.34	-	 < 0.01	6.46E-01
signal peptide processing (GO:0006465)	5	0	0.14	-	 < 0.01	1.00E+00
proteinogenic amino acid biosynthetic process (GO:0170038)	23	0	0.64	-	 < 0.01	1.00E+00
detection of mechanical stimulus (GO:0050982)	9	0	0.25	-	 < 0.01	1.00E+00
intrinsic apoptotic signaling pathway in response to DNA damage (GO:0008630)	13	0	0.36	-	 < 0.01	1.00E+00
L-amino acid biosynthetic process (GO:0170034)	23	0	0.64	-	 < 0.01	1.00E+00
negative regulation of chromosome separation (GO:1905819)	9	0	0.25	-	 < 0.01	1.00E+00
sex differentiation (GO:0007548)	7	0	0.2	-	 < 0.01	1.00E+00
regulation of chromosome separation (GO:1905818)	15	0	0.42	-	 < 0.01	1.00E+00
maturation of SSU-rRNA (GO:0030490)	28	0	0.78	-	 < 0.01	1.00E+00
response to other organism (GO:0051707)	45	0	1.26	-	 < 0.01	6.38E-01
'de novo' protein folding (GO:0006458)	9	0	0.25	-	 < 0.01	1.00E+00
protein folding (GO:0006457)	102	0	2.85	-	 < 0.01	1.21E-01
vascular endothelial growth factor receptor signaling pathway (GO:0048010)	9	0	0.25	-	 < 0.01	1.00E+00
biological process involved in interaction with host (GO:0051701)	1	0	0.03	-	 < 0.01	1.00E+00
RNA decapping (GO:0110154)	9	0	0.25	-	 < 0.01	1.00E+00
biomineral tissue development (GO:0031214)	4	0	0.11	-	 < 0.01	1.00E+00
mitotic intra-S DNA damage checkpoint signaling (GO:0031573)	4	0	0.11	-	 < 0.01	1.00E+00
DNA integrity checkpoint signaling (GO:0031570)	25	0	0.7	-	 < 0.01	1.00E+00
extrinsic apoptotic signaling pathway via death domain receptors (GO:0008625)	3	0	0.08	-	 < 0.01	1.00E+00
tRNA methylation (GO:0030488)	21	0	0.59	-	 < 0.01	1.00E+00
insulin-like growth factor receptor signaling pathway (GO:0048009)	5	0	0.14	-	 < 0.01	1.00E+00
regulation of translational initiation (GO:0006446)	14	0	0.39	-	 < 0.01	1.00E+00
nucleotide-sugar transmembrane transport (GO:0015780)	6	0	0.17	-	 < 0.01	1.00E+00
"post-translational protein targeting to membrane, translocation (GO:0031204)"	5	0	0.14	-	 < 0.01	1.00E+00
tRNA wobble uridine modification (GO:0002098)	7	0	0.2	-	 < 0.01	1.00E+00
neuromuscular junction development (GO:0007528)	10	0	0.28	-	 < 0.01	1.00E+00
attachment of spindle microtubules to kinetochore (GO:0008608)	7	0	0.2	-	 < 0.01	1.00E+00
lens development in camera-type eye (GO:0002088)	18	0	0.5	-	 < 0.01	1.00E+00
organelle transport along microtubule (GO:0072384)	26	0	0.73	-	 < 0.01	1.00E+00
sensory perception of mechanical stimulus (GO:0050954)	12	0	0.34	-	 < 0.01	1.00E+00
regulation of endocytosis (GO:0030100)	20	0	0.56	-	 < 0.01	1.00E+00
positive regulation of innate immune response (GO:0045089)	19	0	0.53	-	 < 0.01	1.00E+00
positive regulation of cysteine-type endopeptidase activity (GO:2001056)	17	0	0.48	-	 < 0.01	1.00E+00
innate immune response (GO:0045087)	28	0	0.78	-	 < 0.01	1.00E+00
negative regulation of proteasomal protein catabolic process (GO:1901799)	5	0	0.14	-	 < 0.01	1.00E+00
heme biosynthetic process (GO:0006783)	7	0	0.2	-	 < 0.01	1.00E+00
protein activation cascade (GO:0072376)	5	0	0.14	-	 < 0.01	1.00E+00
mitochondrial respiratory chain complex I assembly (GO:0032981)	7	0	0.2	-	 < 0.01	1.00E+00
mesoderm morphogenesis (GO:0048332)	7	0	0.2	-	 < 0.01	1.00E+00
porphyrin-containing compound metabolic process (GO:0006778)	12	0	0.34	-	 < 0.01	1.00E+00
translational termination (GO:0006415)	3	0	0.08	-	 < 0.01	1.00E+00
translational initiation (GO:0006413)	28	0	0.78	-	 < 0.01	1.00E+00
chromosome organization involved in meiotic cell cycle (GO:0070192)	11	0	0.31	-	 < 0.01	1.00E+00
regulation of complement activation (GO:0030449)	1	0	0.03	-	 < 0.01	1.00E+00
succinate transport (GO:0015744)	3	0	0.08	-	 < 0.01	1.00E+00
mRNA export from nucleus (GO:0006406)	28	0	0.78	-	 < 0.01	1.00E+00
C4-dicarboxylate transport (GO:0015740)	13	0	0.36	-	 < 0.01	1.00E+00
RNA export from nucleus (GO:0006405)	36	0	1.01	-	 < 0.01	6.26E-01
RNA localization (GO:0006403)	44	0	1.23	-	 < 0.01	6.36E-01
folic acid-containing compound metabolic process (GO:0006760)	13	0	0.36	-	 < 0.01	1.00E+00
pigment biosynthetic process (GO:0046148)	12	0	0.34	-	 < 0.01	1.00E+00
positive regulation of chemotaxis (GO:0050921)	8	0	0.22	-	 < 0.01	1.00E+00
regulation of chemotaxis (GO:0050920)	8	0	0.22	-	 < 0.01	1.00E+00
positive regulation of transcription elongation by RNA polymerase II (GO:0032968)	8	0	0.22	-	 < 0.01	1.00E+00
mitotic spindle assembly (GO:0090307)	13	0	0.36	-	 < 0.01	1.00E+00
regulated exocytosis (GO:0045055)	35	0	0.98	-	 < 0.01	6.26E-01
axon extension (GO:0048675)	2	0	0.06	-	 < 0.01	1.00E+00
microtubule cytoskeleton organization involved in mitosis (GO:1902850)	43	0	1.2	-	 < 0.01	6.34E-01
ATP biosynthetic process (GO:0006754)	1	0	0.03	-	 < 0.01	1.00E+00
sensory perception of bitter taste (GO:0050913)	1	0	0.03	-	 < 0.01	1.00E+00
detection of chemical stimulus involved in sensory perception of taste (GO:0050912)	1	0	0.03	-	 < 0.01	1.00E+00
"chemical synaptic transmission, postsynaptic (GO:0099565)"	4	0	0.11	-	 < 0.01	1.00E+00
siRNA processing (GO:0030422)	1	0	0.03	-	 < 0.01	1.00E+00
nicotinamide nucleotide metabolic process (GO:0046496)	35	0	0.98	-	 < 0.01	6.26E-01
sprouting angiogenesis (GO:0002040)	8	0	0.22	-	 < 0.01	1.00E+00
protein insertion into ER membrane (GO:0045048)	4	0	0.11	-	 < 0.01	1.00E+00
protein targeting to ER (GO:0045047)	14	0	0.39	-	 < 0.01	1.00E+00
bile acid and bile salt transport (GO:0015721)	5	0	0.14	-	 < 0.01	1.00E+00
protein-containing complex localization (GO:0031503)	57	0	1.59	-	 < 0.01	4.11E-01
sensory perception of taste (GO:0050909)	2	0	0.06	-	 < 0.01	1.00E+00
detection of chemical stimulus involved in sensory perception (GO:0050907)	2	0	0.06	-	 < 0.01	1.00E+00
intrinsic apoptotic signaling pathway by p53 class mediator (GO:0072332)	6	0	0.17	-	 < 0.01	1.00E+00
signal transduction by p53 class mediator (GO:0072331)	7	0	0.2	-	 < 0.01	1.00E+00
monocarboxylic acid biosynthetic process (GO:0072330)	28	0	0.78	-	 < 0.01	1.00E+00
leukocyte migration (GO:0050900)	10	0	0.28	-	 < 0.01	1.00E+00
monocarboxylic acid transport (GO:0015718)	35	0	0.98	-	 < 0.01	6.26E-01
protein insertion into mitochondrial inner membrane (GO:0045039)	3	0	0.08	-	 < 0.01	1.00E+00
regulation of mononuclear cell proliferation (GO:0032944)	5	0	0.14	-	 < 0.01	1.00E+00
mononuclear cell proliferation (GO:0032943)	1	0	0.03	-	 < 0.01	1.00E+00
NADP metabolic process (GO:0006739)	6	0	0.17	-	 < 0.01	1.00E+00
monocarboxylic acid catabolic process (GO:0072329)	36	0	1.01	-	 < 0.01	6.26E-01
SREBP signaling pathway (GO:0032933)	6	0	0.17	-	 < 0.01	1.00E+00
early endosome to late endosome transport (GO:0045022)	4	0	0.11	-	 < 0.01	1.00E+00
activation of GTPase activity (GO:0090630)	36	0	1.01	-	 < 0.01	6.26E-01
lymphocyte migration (GO:0072676)	3	0	0.08	-	 < 0.01	1.00E+00
regulation of postsynaptic membrane potential (GO:0060078)	11	0	0.31	-	 < 0.01	1.00E+00
acylglycerol catabolic process (GO:0046464)	9	0	0.25	-	 < 0.01	1.00E+00
cellular response to lipopolysaccharide (GO:0071222)	9	0	0.25	-	 < 0.01	1.00E+00
neutral lipid catabolic process (GO:0046461)	9	0	0.25	-	 < 0.01	1.00E+00
activin receptor signaling pathway (GO:0032924)	4	0	0.11	-	 < 0.01	1.00E+00
circadian regulation of gene expression (GO:0032922)	20	0	0.56	-	 < 0.01	1.00E+00
positive regulation of NF-kappaB transcription factor activity (GO:0051092)	11	0	0.31	-	 < 0.01	1.00E+00
positive regulation of DNA-binding transcription factor activity (GO:0051091)	17	0	0.48	-	 < 0.01	1.00E+00
regulation of DNA-binding transcription factor activity (GO:0051090)	25	0	0.7	-	 < 0.01	1.00E+00
morphogenesis of an epithelium (GO:0002009)	14	0	0.39	-	 < 0.01	1.00E+00
establishment of protein localization to vacuole (GO:0072666)	25	0	0.7	-	 < 0.01	1.00E+00
autophagosome maturation (GO:0097352)	10	0	0.28	-	 < 0.01	1.00E+00
protein localization to vacuole (GO:0072665)	27	0	0.75	-	 < 0.01	1.00E+00
leukocyte activation involved in immune response (GO:0002366)	4	0	0.11	-	 < 0.01	1.00E+00
TORC2 signaling (GO:0038203)	5	0	0.14	-	 < 0.01	1.00E+00
cellular response to molecule of bacterial origin (GO:0071219)	9	0	0.25	-	 < 0.01	1.00E+00
TORC1 signaling (GO:0038202)	1	0	0.03	-	 < 0.01	1.00E+00
icosanoid biosynthetic process (GO:0046456)	7	0	0.2	-	 < 0.01	1.00E+00
cellular response to biotic stimulus (GO:0071216)	9	0	0.25	-	 < 0.01	1.00E+00
positive regulation of cell cycle G1/S phase transition (GO:1902808)	8	0	0.22	-	 < 0.01	1.00E+00
leucine biosynthetic process (GO:0009098)	1	0	0.03	-	 < 0.01	1.00E+00
regulation of cell cycle G1/S phase transition (GO:1902806)	18	0	0.5	-	 < 0.01	1.00E+00
chaperone cofactor-dependent protein refolding (GO:0051085)	7	0	0.2	-	 < 0.01	1.00E+00
response to oxygen levels (GO:0070482)	17	0	0.48	-	 < 0.01	1.00E+00
"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)"	13	0	0.36	-	 < 0.01	1.00E+00
establishment of protein localization to mitochondrion (GO:0072655)	21	0	0.59	-	 < 0.01	1.00E+00
sulfur compound catabolic process (GO:0044273)	7	0	0.2	-	 < 0.01	1.00E+00
glycogen biosynthetic process (GO:0005978)	2	0	0.06	-	 < 0.01	1.00E+00
vesicle cytoskeletal trafficking (GO:0099518)	17	0	0.48	-	 < 0.01	1.00E+00
glycogen metabolic process (GO:0005977)	6	0	0.17	-	 < 0.01	1.00E+00
polysaccharide metabolic process (GO:0005976)	13	0	0.36	-	 < 0.01	1.00E+00
lysine biosynthetic process (GO:0009085)	1	0	0.03	-	 < 0.01	1.00E+00
cellular response to transforming growth factor beta stimulus (GO:0071560)	21	0	0.59	-	 < 0.01	1.00E+00
branched-chain amino acid biosynthetic process (GO:0009082)	3	0	0.08	-	 < 0.01	1.00E+00
branched-chain amino acid metabolic process (GO:0009081)	12	0	0.34	-	 < 0.01	1.00E+00
rRNA base methylation (GO:0070475)	5	0	0.14	-	 < 0.01	1.00E+00
ncRNA transcription (GO:0098781)	17	0	0.48	-	 < 0.01	1.00E+00
regulation of proteasomal protein catabolic process (GO:0061136)	32	0	0.89	-	 < 0.01	1.00E+00
receptor signaling pathway via STAT (GO:0097696)	11	0	0.31	-	 < 0.01	1.00E+00
cardiac muscle contraction (GO:0060048)	16	0	0.45	-	 < 0.01	1.00E+00
heart contraction (GO:0060047)	20	0	0.56	-	 < 0.01	1.00E+00
response to transforming growth factor beta (GO:0071559)	21	0	0.59	-	 < 0.01	1.00E+00
vesicle fusion to plasma membrane (GO:0099500)	6	0	0.17	-	 < 0.01	1.00E+00
retina development in camera-type eye (GO:0060041)	2	0	0.06	-	 < 0.01	1.00E+00
multicellular organismal reproductive process (GO:0048609)	32	0	0.89	-	 < 0.01	1.00E+00
peptide catabolic process (GO:0043171)	12	0	0.34	-	 < 0.01	1.00E+00
reproductive structure development (GO:0048608)	2	0	0.06	-	 < 0.01	1.00E+00
MAPK cascade (GO:0000165)	19	0	0.53	-	 < 0.01	1.00E+00
regulation of immune effector process (GO:0002697)	6	0	0.17	-	 < 0.01	1.00E+00
positive regulation of leukocyte activation (GO:0002696)	8	0	0.22	-	 < 0.01	1.00E+00
positive regulation of receptor signaling pathway via JAK-STAT (GO:0046427)	5	0	0.14	-	 < 0.01	1.00E+00
negative regulation of leukocyte activation (GO:0002695)	6	0	0.17	-	 < 0.01	1.00E+00
regulation of leukocyte activation (GO:0002694)	14	0	0.39	-	 < 0.01	1.00E+00
regulation of receptor signaling pathway via JAK-STAT (GO:0046425)	9	0	0.25	-	 < 0.01	1.00E+00
microtubule polymerization (GO:0046785)	19	0	0.53	-	 < 0.01	1.00E+00
negative regulation of small GTPase mediated signal transduction (GO:0051058)	11	0	0.31	-	 < 0.01	1.00E+00
positive regulation of leukocyte chemotaxis (GO:0002690)	8	0	0.22	-	 < 0.01	1.00E+00
aspartate family amino acid biosynthetic process (GO:0009067)	10	0	0.28	-	 < 0.01	1.00E+00
ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway (GO:0043162)	13	0	0.36	-	 < 0.01	1.00E+00
aspartate family amino acid metabolic process (GO:0009066)	14	0	0.39	-	 < 0.01	1.00E+00
negative regulation of DNA metabolic process (GO:0051053)	16	0	0.45	-	 < 0.01	1.00E+00
