PANTHER GO-Slim Biological Process	background_genelist.full.txt - REFLIST (12732)	pyrr.dxy.50000kb.genenames_filtered.txt (187)	pyrr.dxy.50000kb.genenames_filtered.txt (expected)	pyrr.dxy.50000kb.genenames_filtered.txt (over/under)	pyrr.dxy.50000kb.genenames_filtered.txt (fold Enrichment)	P-value
insulin-like growth factor receptor signaling pathway (GO:0048009)	5	0	0.07	-	 < 0.01	1.00E+00
regulation of translational initiation (GO:0006446)	14	0	0.21	-	 < 0.01	1.00E+00
nucleotide-sugar transmembrane transport (GO:0015780)	6	0	0.09	-	 < 0.01	1.00E+00
tRNA wobble uridine modification (GO:0002098)	7	0	0.1	-	 < 0.01	1.00E+00
regulation of Wnt signaling pathway (GO:0030111)	59	0	0.87	-	 < 0.01	1.00E+00
neuromuscular junction development (GO:0007528)	10	0	0.15	-	 < 0.01	1.00E+00
negative regulation of intracellular signal transduction (GO:1902532)	60	0	0.88	-	 < 0.01	1.00E+00
attachment of spindle microtubules to kinetochore (GO:0008608)	7	0	0.1	-	 < 0.01	1.00E+00
sulfur compound metabolic process (GO:0006790)	77	0	1.13	-	 < 0.01	6.32E-01
lens development in camera-type eye (GO:0002088)	18	0	0.26	-	 < 0.01	1.00E+00
organelle transport along microtubule (GO:0072384)	26	0	0.38	-	 < 0.01	1.00E+00
sensory perception of mechanical stimulus (GO:0050954)	12	0	0.18	-	 < 0.01	1.00E+00
skeletal muscle tissue development (GO:0007519)	14	0	0.21	-	 < 0.01	1.00E+00
muscle organ development (GO:0007517)	20	0	0.29	-	 < 0.01	1.00E+00
positive regulation of innate immune response (GO:0045089)	19	0	0.28	-	 < 0.01	1.00E+00
positive regulation of cysteine-type endopeptidase activity (GO:2001056)	17	0	0.25	-	 < 0.01	1.00E+00
regulation of innate immune response (GO:0045088)	24	0	0.35	-	 < 0.01	1.00E+00
negative regulation of proteasomal protein catabolic process (GO:1901799)	5	0	0.07	-	 < 0.01	1.00E+00
heme biosynthetic process (GO:0006783)	7	0	0.1	-	 < 0.01	1.00E+00
protein activation cascade (GO:0072376)	5	0	0.07	-	 < 0.01	1.00E+00
alcohol biosynthetic process (GO:0046165)	33	0	0.48	-	 < 0.01	1.00E+00
heart development (GO:0007507)	52	0	0.76	-	 < 0.01	1.00E+00
protein-containing complex disassembly (GO:0032984)	47	0	0.69	-	 < 0.01	1.00E+00
regulation of translation (GO:0006417)	53	0	0.78	-	 < 0.01	1.00E+00
mitochondrial respiratory chain complex I assembly (GO:0032981)	7	0	0.1	-	 < 0.01	1.00E+00
mesoderm morphogenesis (GO:0048332)	7	0	0.1	-	 < 0.01	1.00E+00
porphyrin-containing compound metabolic process (GO:0006778)	12	0	0.18	-	 < 0.01	1.00E+00
translational termination (GO:0006415)	3	0	0.04	-	 < 0.01	1.00E+00
translational initiation (GO:0006413)	28	0	0.41	-	 < 0.01	1.00E+00
regulation of complement activation (GO:0030449)	1	0	0.01	-	 < 0.01	1.00E+00
organophosphate ester transport (GO:0015748)	49	0	0.72	-	 < 0.01	1.00E+00
citrate transport (GO:0015746)	4	0	0.06	-	 < 0.01	1.00E+00
succinate transport (GO:0015744)	3	0	0.04	-	 < 0.01	1.00E+00
regulation of actin filament-based process (GO:0032970)	89	0	1.31	-	 < 0.01	6.44E-01
mRNA export from nucleus (GO:0006406)	28	0	0.41	-	 < 0.01	1.00E+00
C4-dicarboxylate transport (GO:0015740)	13	0	0.19	-	 < 0.01	1.00E+00
RNA export from nucleus (GO:0006405)	36	0	0.53	-	 < 0.01	1.00E+00
RNA localization (GO:0006403)	44	0	0.65	-	 < 0.01	1.00E+00
mRNA catabolic process (GO:0006402)	51	0	0.75	-	 < 0.01	1.00E+00
RNA catabolic process (GO:0006401)	55	0	0.81	-	 < 0.01	1.00E+00
circulatory system development (GO:0072359)	93	0	1.37	-	 < 0.01	6.49E-01
folic acid-containing compound metabolic process (GO:0006760)	13	0	0.19	-	 < 0.01	1.00E+00
pigment biosynthetic process (GO:0046148)	12	0	0.18	-	 < 0.01	1.00E+00
positive regulation of chemotaxis (GO:0050921)	8	0	0.12	-	 < 0.01	1.00E+00
regulation of chemotaxis (GO:0050920)	8	0	0.12	-	 < 0.01	1.00E+00
positive regulation of transcription elongation by RNA polymerase II (GO:0032968)	8	0	0.12	-	 < 0.01	1.00E+00
mitotic spindle assembly (GO:0090307)	13	0	0.19	-	 < 0.01	1.00E+00
axon extension (GO:0048675)	2	0	0.03	-	 < 0.01	1.00E+00
ATP biosynthetic process (GO:0006754)	1	0	0.01	-	 < 0.01	1.00E+00
nucleoside phosphate metabolic process (GO:0006753)	124	0	1.82	-	 < 0.01	2.68E-01
regulation of membrane lipid distribution (GO:0097035)	26	0	0.38	-	 < 0.01	1.00E+00
positive chemotaxis (GO:0050918)	3	0	0.04	-	 < 0.01	1.00E+00
sensory perception of bitter taste (GO:0050913)	1	0	0.01	-	 < 0.01	1.00E+00
detection of chemical stimulus involved in sensory perception of taste (GO:0050912)	1	0	0.01	-	 < 0.01	1.00E+00
"chemical synaptic transmission, postsynaptic (GO:0099565)"	4	0	0.06	-	 < 0.01	1.00E+00
siRNA processing (GO:0030422)	1	0	0.01	-	 < 0.01	1.00E+00
nicotinamide nucleotide metabolic process (GO:0046496)	35	0	0.51	-	 < 0.01	1.00E+00
sprouting angiogenesis (GO:0002040)	8	0	0.12	-	 < 0.01	1.00E+00
synaptic membrane adhesion (GO:0099560)	6	0	0.09	-	 < 0.01	1.00E+00
regulation of actin cytoskeleton organization (GO:0032956)	88	0	1.29	-	 < 0.01	6.42E-01
protein insertion into ER membrane (GO:0045048)	4	0	0.06	-	 < 0.01	1.00E+00
glutathione metabolic process (GO:0006749)	14	0	0.21	-	 < 0.01	1.00E+00
bile acid and bile salt transport (GO:0015721)	5	0	0.07	-	 < 0.01	1.00E+00
heterochromatin formation (GO:0031507)	23	0	0.34	-	 < 0.01	1.00E+00
ubiquinone biosynthetic process (GO:0006744)	5	0	0.07	-	 < 0.01	1.00E+00
detection of chemical stimulus involved in sensory perception (GO:0050907)	2	0	0.03	-	 < 0.01	1.00E+00
detection of stimulus involved in sensory perception (GO:0050906)	7	0	0.1	-	 < 0.01	1.00E+00
intrinsic apoptotic signaling pathway by p53 class mediator (GO:0072332)	6	0	0.09	-	 < 0.01	1.00E+00
signal transduction by p53 class mediator (GO:0072331)	7	0	0.1	-	 < 0.01	1.00E+00
monocarboxylic acid biosynthetic process (GO:0072330)	28	0	0.41	-	 < 0.01	1.00E+00
leukocyte migration (GO:0050900)	10	0	0.15	-	 < 0.01	1.00E+00
monocarboxylic acid transport (GO:0015718)	35	0	0.51	-	 < 0.01	1.00E+00
protein insertion into mitochondrial inner membrane (GO:0045039)	3	0	0.04	-	 < 0.01	1.00E+00
regulation of mononuclear cell proliferation (GO:0032944)	5	0	0.07	-	 < 0.01	1.00E+00
mononuclear cell proliferation (GO:0032943)	1	0	0.01	-	 < 0.01	1.00E+00
NADP metabolic process (GO:0006739)	6	0	0.09	-	 < 0.01	1.00E+00
monocarboxylic acid catabolic process (GO:0072329)	36	0	0.53	-	 < 0.01	1.00E+00
glycerophospholipid catabolic process (GO:0046475)	8	0	0.12	-	 < 0.01	1.00E+00
phosphatidylcholine metabolic process (GO:0046470)	7	0	0.1	-	 < 0.01	1.00E+00
SREBP signaling pathway (GO:0032933)	6	0	0.09	-	 < 0.01	1.00E+00
early endosome to late endosome transport (GO:0045022)	4	0	0.06	-	 < 0.01	1.00E+00
activation of GTPase activity (GO:0090630)	36	0	0.53	-	 < 0.01	1.00E+00
terpenoid metabolic process (GO:0006721)	13	0	0.19	-	 < 0.01	1.00E+00
isoprenoid metabolic process (GO:0006720)	21	0	0.31	-	 < 0.01	1.00E+00
lymphocyte migration (GO:0072676)	3	0	0.04	-	 < 0.01	1.00E+00
monosaccharide metabolic process (GO:0005996)	28	0	0.41	-	 < 0.01	1.00E+00
regulation of postsynaptic membrane potential (GO:0060078)	11	0	0.16	-	 < 0.01	1.00E+00
acylglycerol catabolic process (GO:0046464)	9	0	0.13	-	 < 0.01	1.00E+00
cellular response to lipopolysaccharide (GO:0071222)	9	0	0.13	-	 < 0.01	1.00E+00
neutral lipid catabolic process (GO:0046461)	9	0	0.13	-	 < 0.01	1.00E+00
activin receptor signaling pathway (GO:0032924)	4	0	0.06	-	 < 0.01	1.00E+00
circadian regulation of gene expression (GO:0032922)	20	0	0.29	-	 < 0.01	1.00E+00
positive regulation of NF-kappaB transcription factor activity (GO:0051092)	11	0	0.16	-	 < 0.01	1.00E+00
positive regulation of DNA-binding transcription factor activity (GO:0051091)	17	0	0.25	-	 < 0.01	1.00E+00
regulation of DNA-binding transcription factor activity (GO:0051090)	25	0	0.37	-	 < 0.01	1.00E+00
mRNA destabilization (GO:0061157)	27	0	0.4	-	 < 0.01	1.00E+00
autophagosome maturation (GO:0097352)	10	0	0.15	-	 < 0.01	1.00E+00
small molecule biosynthetic process (GO:0044283)	113	0	1.66	-	 < 0.01	4.18E-01
small molecule catabolic process (GO:0044282)	93	0	1.37	-	 < 0.01	6.49E-01
small molecule metabolic process (GO:0044281)	422	0	6.2	-	 < 0.01	3.16E-03
TORC2 signaling (GO:0038203)	5	0	0.07	-	 < 0.01	1.00E+00
cellular response to molecule of bacterial origin (GO:0071219)	9	0	0.13	-	 < 0.01	1.00E+00
TORC1 signaling (GO:0038202)	1	0	0.01	-	 < 0.01	1.00E+00
icosanoid biosynthetic process (GO:0046456)	7	0	0.1	-	 < 0.01	1.00E+00
cellular response to biotic stimulus (GO:0071216)	9	0	0.13	-	 < 0.01	1.00E+00
positive regulation of cell cycle G1/S phase transition (GO:1902808)	8	0	0.12	-	 < 0.01	1.00E+00
leucine biosynthetic process (GO:0009098)	1	0	0.01	-	 < 0.01	1.00E+00
regulation of cell cycle G1/S phase transition (GO:1902806)	18	0	0.26	-	 < 0.01	1.00E+00
chaperone cofactor-dependent protein refolding (GO:0051085)	7	0	0.1	-	 < 0.01	1.00E+00
response to oxygen levels (GO:0070482)	17	0	0.25	-	 < 0.01	1.00E+00
"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)"	13	0	0.19	-	 < 0.01	1.00E+00
establishment of protein localization to mitochondrion (GO:0072655)	21	0	0.31	-	 < 0.01	1.00E+00
sulfur compound catabolic process (GO:0044273)	7	0	0.1	-	 < 0.01	1.00E+00
glycogen biosynthetic process (GO:0005978)	2	0	0.03	-	 < 0.01	1.00E+00
vesicle cytoskeletal trafficking (GO:0099518)	17	0	0.25	-	 < 0.01	1.00E+00
glycogen metabolic process (GO:0005977)	6	0	0.09	-	 < 0.01	1.00E+00
polysaccharide metabolic process (GO:0005976)	13	0	0.19	-	 < 0.01	1.00E+00
cellular nitrogen compound catabolic process (GO:0044270)	116	0	1.7	-	 < 0.01	4.21E-01
carbohydrate metabolic process (GO:0005975)	86	0	1.26	-	 < 0.01	6.40E-01
lysine biosynthetic process (GO:0009085)	1	0	0.01	-	 < 0.01	1.00E+00
cellular response to transforming growth factor beta stimulus (GO:0071560)	21	0	0.31	-	 < 0.01	1.00E+00
branched-chain amino acid biosynthetic process (GO:0009082)	3	0	0.04	-	 < 0.01	1.00E+00
branched-chain amino acid metabolic process (GO:0009081)	12	0	0.18	-	 < 0.01	1.00E+00
rRNA base methylation (GO:0070475)	5	0	0.07	-	 < 0.01	1.00E+00
ncRNA transcription (GO:0098781)	17	0	0.25	-	 < 0.01	1.00E+00
regulation of proteasomal protein catabolic process (GO:0061136)	32	0	0.47	-	 < 0.01	1.00E+00
receptor signaling pathway via STAT (GO:0097696)	11	0	0.16	-	 < 0.01	1.00E+00
cardiac muscle contraction (GO:0060048)	16	0	0.23	-	 < 0.01	1.00E+00
heart contraction (GO:0060047)	20	0	0.29	-	 < 0.01	1.00E+00
response to transforming growth factor beta (GO:0071559)	21	0	0.31	-	 < 0.01	1.00E+00
organophosphate catabolic process (GO:0046434)	46	0	0.68	-	 < 0.01	1.00E+00
retina development in camera-type eye (GO:0060041)	2	0	0.03	-	 < 0.01	1.00E+00
multicellular organismal reproductive process (GO:0048609)	32	0	0.47	-	 < 0.01	1.00E+00
cellular response to amino acid starvation (GO:0034198)	9	0	0.13	-	 < 0.01	1.00E+00
reproductive structure development (GO:0048608)	2	0	0.03	-	 < 0.01	1.00E+00
aromatic amino acid family catabolic process (GO:0009074)	9	0	0.13	-	 < 0.01	1.00E+00
aromatic amino acid metabolic process (GO:0009072)	12	0	0.18	-	 < 0.01	1.00E+00
MAPK cascade (GO:0000165)	19	0	0.28	-	 < 0.01	1.00E+00
regulation of immune effector process (GO:0002697)	6	0	0.09	-	 < 0.01	1.00E+00
positive regulation of leukocyte activation (GO:0002696)	8	0	0.12	-	 < 0.01	1.00E+00
positive regulation of receptor signaling pathway via JAK-STAT (GO:0046427)	5	0	0.07	-	 < 0.01	1.00E+00
negative regulation of leukocyte activation (GO:0002695)	6	0	0.09	-	 < 0.01	1.00E+00
regulation of leukocyte activation (GO:0002694)	14	0	0.21	-	 < 0.01	1.00E+00
regulation of receptor signaling pathway via JAK-STAT (GO:0046425)	9	0	0.13	-	 < 0.01	1.00E+00
microtubule polymerization (GO:0046785)	19	0	0.28	-	 < 0.01	1.00E+00
negative regulation of small GTPase mediated signal transduction (GO:0051058)	11	0	0.16	-	 < 0.01	1.00E+00
positive regulation of leukocyte chemotaxis (GO:0002690)	8	0	0.12	-	 < 0.01	1.00E+00
aspartate family amino acid biosynthetic process (GO:0009067)	10	0	0.15	-	 < 0.01	1.00E+00
ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway (GO:0043162)	13	0	0.19	-	 < 0.01	1.00E+00
regulation of small GTPase mediated signal transduction (GO:0051056)	47	0	0.69	-	 < 0.01	1.00E+00
aspartate family amino acid metabolic process (GO:0009066)	14	0	0.21	-	 < 0.01	1.00E+00
proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161)	112	0	1.64	-	 < 0.01	4.16E-01
negative regulation of DNA metabolic process (GO:0051053)	16	0	0.23	-	 < 0.01	1.00E+00
amino acid catabolic process (GO:0009063)	35	0	0.51	-	 < 0.01	1.00E+00
regulation of DNA metabolic process (GO:0051052)	37	0	0.54	-	 < 0.01	1.00E+00
fatty acid catabolic process (GO:0009062)	32	0	0.47	-	 < 0.01	1.00E+00
aerobic respiration (GO:0009060)	30	0	0.44	-	 < 0.01	1.00E+00
cellular respiration (GO:0045333)	35	0	0.51	-	 < 0.01	1.00E+00
phospholipid translocation (GO:0045332)	22	0	0.32	-	 < 0.01	1.00E+00
intraciliary transport (GO:0042073)	19	0	0.28	-	 < 0.01	1.00E+00
rRNA modification (GO:0000154)	18	0	0.26	-	 < 0.01	1.00E+00
mitochondrial gene expression (GO:0140053)	27	0	0.4	-	 < 0.01	1.00E+00
protein O-linked mannosylation (GO:0035269)	5	0	0.07	-	 < 0.01	1.00E+00
cellular lipid catabolic process (GO:0044242)	64	0	0.94	-	 < 0.01	1.00E+00
protein mannosylation (GO:0035268)	8	0	0.12	-	 < 0.01	1.00E+00
positive regulation of leukocyte migration (GO:0002687)	13	0	0.19	-	 < 0.01	1.00E+00
regulation of leukocyte migration (GO:0002685)	16	0	0.23	-	 < 0.01	1.00E+00
negative regulation of immune system process (GO:0002683)	16	0	0.23	-	 < 0.01	1.00E+00
DNA biosynthetic process (GO:0071897)	20	0	0.29	-	 < 0.01	1.00E+00
positive regulation of secretion (GO:0051047)	7	0	0.1	-	 < 0.01	1.00E+00
regulation of secretion (GO:0051046)	47	0	0.69	-	 < 0.01	1.00E+00
detoxification (GO:0098754)	7	0	0.1	-	 < 0.01	1.00E+00
late endosome to vacuole transport (GO:0045324)	29	0	0.43	-	 < 0.01	1.00E+00
gliogenesis (GO:0042063)	19	0	0.28	-	 < 0.01	1.00E+00
stress fiber assembly (GO:0043149)	5	0	0.07	-	 < 0.01	1.00E+00
regulation of double-strand break repair via homologous recombination (GO:0010569)	7	0	0.1	-	 < 0.01	1.00E+00
regulation of cell cycle process (GO:0010564)	109	0	1.6	-	 < 0.01	4.14E-01
negative regulation of phosphorus metabolic process (GO:0010563)	37	0	0.54	-	 < 0.01	1.00E+00
neuron projection extension (GO:1990138)	5	0	0.07	-	 < 0.01	1.00E+00
regulation of epidermal growth factor receptor signaling pathway (GO:0042058)	11	0	0.16	-	 < 0.01	1.00E+00
detection of chemical stimulus involved in sensory perception of bitter taste (GO:0001580)	1	0	0.01	-	 < 0.01	1.00E+00
reproductive system development (GO:0061458)	2	0	0.03	-	 < 0.01	1.00E+00
establishment of mitotic spindle orientation (GO:0000132)	9	0	0.13	-	 < 0.01	1.00E+00
"synaptic transmission, glutamatergic (GO:0035249)"	19	0	0.28	-	 < 0.01	1.00E+00
negative regulation of macromolecule biosynthetic process (GO:0010558)	299	0	4.39	-	 < 0.01	2.43E-02
mRNA transport (GO:0051028)	30	0	0.44	-	 < 0.01	1.00E+00
phosphatidylinositol 3-kinase/protein kinase B signal transduction (GO:0043491)	8	0	0.12	-	 < 0.01	1.00E+00
phospholipid catabolic process (GO:0009395)	12	0	0.18	-	 < 0.01	1.00E+00
kinetochore organization (GO:0051383)	8	0	0.12	-	 < 0.01	1.00E+00
kinetochore assembly (GO:0051382)	6	0	0.09	-	 < 0.01	1.00E+00
vasculogenesis (GO:0001570)	4	0	0.06	-	 < 0.01	1.00E+00
negative regulation of transcription by RNA polymerase II (GO:0000122)	121	0	1.78	-	 < 0.01	4.28E-01
endosomal transport (GO:0016197)	108	0	1.59	-	 < 0.01	4.13E-01
RNA stabilization (GO:0043489)	14	0	0.21	-	 < 0.01	1.00E+00
regulation of mRNA stability (GO:0043488)	53	0	0.78	-	 < 0.01	1.00E+00
regulation of RNA stability (GO:0043487)	54	0	0.79	-	 < 0.01	1.00E+00
establishment of protein localization to extracellular region (GO:0035592)	22	0	0.32	-	 < 0.01	1.00E+00
negative regulation of canonical NF-kappaB signal transduction (GO:0043124)	5	0	0.07	-	 < 0.01	1.00E+00
actin filament bundle assembly (GO:0051017)	21	0	0.31	-	 < 0.01	1.00E+00
barbed-end actin filament capping (GO:0051016)	17	0	0.25	-	 < 0.01	1.00E+00
blood vessel development (GO:0001568)	39	0	0.57	-	 < 0.01	1.00E+00
toll-like receptor 4 signaling pathway (GO:0034142)	5	0	0.07	-	 < 0.01	1.00E+00
isoprenoid biosynthetic process (GO:0008299)	13	0	0.19	-	 < 0.01	1.00E+00
"endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000479)"	5	0	0.07	-	 < 0.01	1.00E+00
meiotic nuclear division (GO:0140013)	36	0	0.53	-	 < 0.01	1.00E+00
maturation of LSU-rRNA (GO:0000470)	19	0	0.28	-	 < 0.01	1.00E+00
snRNA processing (GO:0016180)	21	0	0.31	-	 < 0.01	1.00E+00
bone development (GO:0060348)	9	0	0.13	-	 < 0.01	1.00E+00
regulation of protein localization to membrane (GO:1905475)	10	0	0.15	-	 < 0.01	1.00E+00
receptor clustering (GO:0043113)	9	0	0.13	-	 < 0.01	1.00E+00
regulation of cellular localization (GO:0060341)	47	0	0.69	-	 < 0.01	1.00E+00
pigmentation (GO:0043473)	15	0	0.22	-	 < 0.01	1.00E+00
negative regulation of mitotic sister chromatid segregation (GO:0033048)	9	0	0.13	-	 < 0.01	1.00E+00
aromatic compound catabolic process (GO:0019439)	121	0	1.78	-	 < 0.01	4.28E-01
regulation of mitotic sister chromatid segregation (GO:0033047)	10	0	0.15	-	 < 0.01	1.00E+00
insulin receptor signaling pathway (GO:0008286)	8	0	0.12	-	 < 0.01	1.00E+00
aromatic compound biosynthetic process (GO:0019438)	210	0	3.08	-	 < 0.01	7.90E-02
negative regulation of sister chromatid segregation (GO:0033046)	9	0	0.13	-	 < 0.01	1.00E+00
"maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000466)"	7	0	0.1	-	 < 0.01	1.00E+00
negative regulation of cell population proliferation (GO:0008285)	14	0	0.21	-	 < 0.01	1.00E+00
regulation of sister chromatid segregation (GO:0033045)	19	0	0.28	-	 < 0.01	1.00E+00
regulation of chromosome organization (GO:0033044)	30	0	0.44	-	 < 0.01	1.00E+00
cell population proliferation (GO:0008283)	9	0	0.13	-	 < 0.01	1.00E+00
regulation of organelle organization (GO:0033043)	202	0	2.97	-	 < 0.01	1.27E-01
"maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000463)"	12	0	0.18	-	 < 0.01	1.00E+00
"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000462)"	17	0	0.25	-	 < 0.01	1.00E+00
triglyceride catabolic process (GO:0019433)	3	0	0.04	-	 < 0.01	1.00E+00
triglyceride biosynthetic process (GO:0019432)	10	0	0.15	-	 < 0.01	1.00E+00
maturation of 5.8S rRNA (GO:0000460)	16	0	0.23	-	 < 0.01	1.00E+00
secondary metabolite biosynthetic process (GO:0044550)	4	0	0.06	-	 < 0.01	1.00E+00
type I interferon-mediated signaling pathway (GO:0060337)	2	0	0.03	-	 < 0.01	1.00E+00
negative regulation of adenylate cyclase activity (GO:0007194)	2	0	0.03	-	 < 0.01	1.00E+00
adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway (GO:0007193)	17	0	0.25	-	 < 0.01	1.00E+00
protein palmitoylation (GO:0018345)	21	0	0.31	-	 < 0.01	1.00E+00
negative regulation of lyase activity (GO:0051350)	2	0	0.03	-	 < 0.01	1.00E+00
regulation of G protein-coupled receptor signaling pathway (GO:0008277)	17	0	0.25	-	 < 0.01	1.00E+00
adenylate cyclase-activating G protein-coupled receptor signaling pathway (GO:0007189)	67	0	0.98	-	 < 0.01	6.28E-01
adenylate cyclase-modulating G protein-coupled receptor signaling pathway (GO:0007188)	96	0	1.41	-	 < 0.01	4.08E-01
cell chemotaxis (GO:0060326)	16	0	0.23	-	 < 0.01	1.00E+00
regulation of phospholipase activity (GO:0010517)	1	0	0.01	-	 < 0.01	1.00E+00
positive regulation of lyase activity (GO:0051349)	9	0	0.13	-	 < 0.01	1.00E+00
head development (GO:0060322)	46	0	0.68	-	 < 0.01	1.00E+00
cilium or flagellum-dependent cell motility (GO:0001539)	14	0	0.21	-	 < 0.01	1.00E+00
tricarboxylic acid cycle (GO:0006099)	18	0	0.26	-	 < 0.01	1.00E+00
negative regulation of hydrolase activity (GO:0051346)	27	0	0.4	-	 < 0.01	1.00E+00
positive regulation of hydrolase activity (GO:0051345)	72	0	1.06	-	 < 0.01	6.29E-01
glycolytic process (GO:0006096)	17	0	0.25	-	 < 0.01	1.00E+00
retina homeostasis (GO:0001895)	2	0	0.03	-	 < 0.01	1.00E+00
tissue homeostasis (GO:0001894)	4	0	0.06	-	 < 0.01	1.00E+00
snRNA 3'-end processing (GO:0034472)	19	0	0.28	-	 < 0.01	1.00E+00
amino acid import across plasma membrane (GO:0089718)	10	0	0.15	-	 < 0.01	1.00E+00
generation of precursor metabolites and energy (GO:0006091)	68	0	1	-	 < 0.01	6.28E-01
"endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000447)"	2	0	0.03	-	 < 0.01	1.00E+00
transforming growth factor beta receptor signaling pathway (GO:0007179)	21	0	0.31	-	 < 0.01	1.00E+00
transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0007178)	34	0	0.5	-	 < 0.01	1.00E+00
positive regulation of autophagy (GO:0010508)	16	0	0.23	-	 < 0.01	1.00E+00
negative regulation of autophagy (GO:0010507)	9	0	0.13	-	 < 0.01	1.00E+00
epidermal growth factor receptor signaling pathway (GO:0007173)	14	0	0.21	-	 < 0.01	1.00E+00
protein-RNA complex organization (GO:0071826)	76	0	1.12	-	 < 0.01	6.31E-01
regulation of lyase activity (GO:0051339)	12	0	0.18	-	 < 0.01	1.00E+00
homotypic cell-cell adhesion (GO:0034109)	7	0	0.1	-	 < 0.01	1.00E+00
protein-DNA complex organization (GO:0071824)	128	0	1.88	-	 < 0.01	2.69E-01
heterocycle catabolic process (GO:0046700)	116	0	1.7	-	 < 0.01	4.21E-01
regulation of hydrolase activity (GO:0051336)	125	0	1.84	-	 < 0.01	2.68E-01
liver development (GO:0001889)	2	0	0.03	-	 < 0.01	1.00E+00
angiogenesis (GO:0001525)	34	0	0.5	-	 < 0.01	1.00E+00
regulation of tissue remodeling (GO:0034103)	4	0	0.06	-	 < 0.01	1.00E+00
retinoid metabolic process (GO:0001523)	7	0	0.1	-	 < 0.01	1.00E+00
regulation of autophagosome maturation (GO:1901096)	5	0	0.07	-	 < 0.01	1.00E+00
organic acid metabolic process (GO:0006082)	218	0	3.2	-	 < 0.01	8.07E-02
tetrapyrrole metabolic process (GO:0033013)	14	0	0.21	-	 < 0.01	1.00E+00
establishment or maintenance of cell polarity (GO:0007163)	52	0	0.76	-	 < 0.01	1.00E+00
negative regulation of cell adhesion (GO:0007162)	10	0	0.15	-	 < 0.01	1.00E+00
oxoacid metabolic process (GO:0043436)	218	0	3.2	-	 < 0.01	8.07E-02
negative regulation of DNA-binding transcription factor activity (GO:0043433)	8	0	0.12	-	 < 0.01	1.00E+00
glycerol-3-phosphate metabolic process (GO:0006072)	5	0	0.07	-	 < 0.01	1.00E+00
RNA methylation (GO:0001510)	43	0	0.63	-	 < 0.01	1.00E+00
mitophagy (GO:0000423)	11	0	0.16	-	 < 0.01	1.00E+00
autophagy of mitochondrion (GO:0000422)	40	0	0.59	-	 < 0.01	1.00E+00
secretory granule organization (GO:0033363)	2	0	0.03	-	 < 0.01	1.00E+00
leukocyte cell-cell adhesion (GO:0007159)	1	0	0.01	-	 < 0.01	1.00E+00
carboxylic acid metabolic process (GO:0019752)	216	0	3.17	-	 < 0.01	8.01E-02
heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules (GO:0007157)	15	0	0.22	-	 < 0.01	1.00E+00
positive regulation of protein polymerization (GO:0032273)	15	0	0.22	-	 < 0.01	1.00E+00
negative regulation of protein polymerization (GO:0032272)	23	0	0.34	-	 < 0.01	1.00E+00
regulation of protein polymerization (GO:0032271)	51	0	0.75	-	 < 0.01	1.00E+00
attachment of mitotic spindle microtubules to kinetochore (GO:0051315)	5	0	0.07	-	 < 0.01	1.00E+00
alcohol metabolic process (GO:0006066)	60	0	0.88	-	 < 0.01	1.00E+00
substrate adhesion-dependent cell spreading (GO:0034446)	13	0	0.19	-	 < 0.01	1.00E+00
ossification (GO:0001503)	15	0	0.22	-	 < 0.01	1.00E+00
metaphase chromosome alignment (GO:0051310)	9	0	0.13	-	 < 0.01	1.00E+00
skeletal system development (GO:0001501)	44	0	0.65	-	 < 0.01	1.00E+00
replication-born double-strand break repair via sister chromatid exchange (GO:1990414)	3	0	0.04	-	 < 0.01	1.00E+00
lipid oxidation (GO:0034440)	25	0	0.37	-	 < 0.01	1.00E+00
positive regulation of natural killer cell mediated cytotoxicity (GO:0045954)	2	0	0.03	-	 < 0.01	1.00E+00
myeloid cell differentiation (GO:0030099)	10	0	0.15	-	 < 0.01	1.00E+00
phytosteroid metabolic process (GO:0016128)	1	0	0.01	-	 < 0.01	1.00E+00
secondary metabolic process (GO:0019748)	5	0	0.07	-	 < 0.01	1.00E+00
protein peptidyl-prolyl isomerization (GO:0000413)	17	0	0.25	-	 < 0.01	1.00E+00
sterol biosynthetic process (GO:0016126)	12	0	0.18	-	 < 0.01	1.00E+00
regulation of Notch signaling pathway (GO:0008593)	13	0	0.19	-	 < 0.01	1.00E+00
