PANTHER GO-Slim Biological Process	background_genelist.full.txt - REFLIST (12431)	intersection.fst.csv (60)	intersection.fst.csv (expected)	intersection.fst.csv (over/under)	intersection.fst.csv (fold Enrichment)	P-value
late endosome to vacuole transport (GO:0045324)	28	0	0.14	-	 < 0.01	1.00E+00
gliogenesis (GO:0042063)	15	0	0.07	-	 < 0.01	1.00E+00
leukocyte activation (GO:0045321)	19	0	0.09	-	 < 0.01	1.00E+00
wound healing (GO:0042060)	19	0	0.09	-	 < 0.01	1.00E+00
protein localization to lysosome (GO:0061462)	6	0	0.03	-	 < 0.01	1.00E+00
stress fiber assembly (GO:0043149)	5	0	0.02	-	 < 0.01	1.00E+00
regulation of double-strand break repair via homologous recombination (GO:0010569)	7	0	0.03	-	 < 0.01	1.00E+00
regulation of cell cycle process (GO:0010564)	106	0	0.51	-	 < 0.01	1.00E+00
negative regulation of phosphorus metabolic process (GO:0010563)	36	0	0.17	-	 < 0.01	1.00E+00
positive regulation of phosphorus metabolic process (GO:0010562)	130	0	0.63	-	 < 0.01	1.00E+00
intracellular signaling cassette (GO:0141124)	159	0	0.77	-	 < 0.01	1.00E+00
neuron projection extension (GO:1990138)	5	0	0.02	-	 < 0.01	1.00E+00
regulation of epidermal growth factor receptor signaling pathway (GO:0042058)	10	0	0.05	-	 < 0.01	1.00E+00
detection of chemical stimulus involved in sensory perception of bitter taste (GO:0001580)	1	0	0	-	 < 0.01	1.00E+00
reproductive system development (GO:0061458)	2	0	0.01	-	 < 0.01	1.00E+00
establishment of mitotic spindle orientation (GO:0000132)	9	0	0.04	-	 < 0.01	1.00E+00
"synaptic transmission, glutamatergic (GO:0035249)"	19	0	0.09	-	 < 0.01	1.00E+00
mRNA transport (GO:0051028)	30	0	0.14	-	 < 0.01	1.00E+00
import across plasma membrane (GO:0098739)	69	0	0.33	-	 < 0.01	1.00E+00
microtubule bundle formation (GO:0001578)	22	0	0.11	-	 < 0.01	1.00E+00
phosphatidylinositol 3-kinase/protein kinase B signal transduction (GO:0043491)	8	0	0.04	-	 < 0.01	1.00E+00
phospholipid catabolic process (GO:0009395)	12	0	0.06	-	 < 0.01	1.00E+00
kinetochore organization (GO:0051383)	8	0	0.04	-	 < 0.01	1.00E+00
kinetochore assembly (GO:0051382)	6	0	0.03	-	 < 0.01	1.00E+00
fluid transport (GO:0042044)	7	0	0.03	-	 < 0.01	1.00E+00
regulation of neuron differentiation (GO:0045664)	9	0	0.04	-	 < 0.01	1.00E+00
vasculogenesis (GO:0001570)	4	0	0.02	-	 < 0.01	1.00E+00
exocytic process (GO:0140029)	14	0	0.07	-	 < 0.01	1.00E+00
negative regulation of transcription by RNA polymerase II (GO:0000122)	118	0	0.57	-	 < 0.01	1.00E+00
endosomal transport (GO:0016197)	105	0	0.51	-	 < 0.01	1.00E+00
RNA stabilization (GO:0043489)	12	0	0.06	-	 < 0.01	1.00E+00
regulation of mRNA stability (GO:0043488)	51	0	0.25	-	 < 0.01	1.00E+00
regulation of RNA stability (GO:0043487)	52	0	0.25	-	 < 0.01	1.00E+00
establishment of protein localization to extracellular region (GO:0035592)	21	0	0.1	-	 < 0.01	1.00E+00
negative regulation of canonical NF-kappaB signal transduction (GO:0043124)	5	0	0.02	-	 < 0.01	1.00E+00
positive regulation of canonical NF-kappaB signal transduction (GO:0043123)	23	0	0.11	-	 < 0.01	1.00E+00
actin filament bundle assembly (GO:0051017)	20	0	0.1	-	 < 0.01	1.00E+00
regulation of canonical NF-kappaB signal transduction (GO:0043122)	32	0	0.15	-	 < 0.01	1.00E+00
barbed-end actin filament capping (GO:0051016)	17	0	0.08	-	 < 0.01	1.00E+00
toll-like receptor 4 signaling pathway (GO:0034142)	4	0	0.02	-	 < 0.01	1.00E+00
isoprenoid biosynthetic process (GO:0008299)	13	0	0.06	-	 < 0.01	1.00E+00
"endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000479)"	5	0	0.02	-	 < 0.01	1.00E+00
meiotic nuclear division (GO:0140013)	35	0	0.17	-	 < 0.01	1.00E+00
maturation of LSU-rRNA (GO:0000470)	19	0	0.09	-	 < 0.01	1.00E+00
snRNA processing (GO:0016180)	21	0	0.1	-	 < 0.01	1.00E+00
bone development (GO:0060348)	5	0	0.02	-	 < 0.01	1.00E+00
regulation of protein localization to membrane (GO:1905475)	10	0	0.05	-	 < 0.01	1.00E+00
receptor clustering (GO:0043113)	9	0	0.04	-	 < 0.01	1.00E+00
regulation of cellular localization (GO:0060341)	47	0	0.23	-	 < 0.01	1.00E+00
pigmentation (GO:0043473)	13	0	0.06	-	 < 0.01	1.00E+00
regulation of cell growth (GO:0001558)	11	0	0.05	-	 < 0.01	1.00E+00
negative regulation of mitotic sister chromatid segregation (GO:0033048)	9	0	0.04	-	 < 0.01	1.00E+00
aromatic compound catabolic process (GO:0019439)	121	0	0.58	-	 < 0.01	1.00E+00
regulation of mitotic sister chromatid segregation (GO:0033047)	10	0	0.05	-	 < 0.01	1.00E+00
insulin receptor signaling pathway (GO:0008286)	8	0	0.04	-	 < 0.01	1.00E+00
aromatic compound biosynthetic process (GO:0019438)	206	0	0.99	-	 < 0.01	6.28E-01
negative regulation of sister chromatid segregation (GO:0033046)	9	0	0.04	-	 < 0.01	1.00E+00
"maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000466)"	7	0	0.03	-	 < 0.01	1.00E+00
negative regulation of cell population proliferation (GO:0008285)	14	0	0.07	-	 < 0.01	1.00E+00
regulation of sister chromatid segregation (GO:0033045)	19	0	0.09	-	 < 0.01	1.00E+00
positive regulation of cell population proliferation (GO:0008284)	65	0	0.31	-	 < 0.01	1.00E+00
regulation of chromosome organization (GO:0033044)	29	0	0.14	-	 < 0.01	1.00E+00
cell population proliferation (GO:0008283)	9	0	0.04	-	 < 0.01	1.00E+00
regulation of organelle organization (GO:0033043)	197	0	0.95	-	 < 0.01	1.00E+00
"maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000463)"	12	0	0.06	-	 < 0.01	1.00E+00
"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000462)"	17	0	0.08	-	 < 0.01	1.00E+00
triglyceride catabolic process (GO:0019433)	3	0	0.01	-	 < 0.01	1.00E+00
triglyceride biosynthetic process (GO:0019432)	10	0	0.05	-	 < 0.01	1.00E+00
maturation of 5.8S rRNA (GO:0000460)	16	0	0.08	-	 < 0.01	1.00E+00
secondary metabolite biosynthetic process (GO:0044550)	4	0	0.02	-	 < 0.01	1.00E+00
type I interferon-mediated signaling pathway (GO:0060337)	2	0	0.01	-	 < 0.01	1.00E+00
negative regulation of adenylate cyclase activity (GO:0007194)	2	0	0.01	-	 < 0.01	1.00E+00
adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway (GO:0007193)	17	0	0.08	-	 < 0.01	1.00E+00
protein palmitoylation (GO:0018345)	21	0	0.1	-	 < 0.01	1.00E+00
positive regulation of myeloid cell differentiation (GO:0045639)	3	0	0.01	-	 < 0.01	1.00E+00
regulation of myeloid cell differentiation (GO:0045637)	5	0	0.02	-	 < 0.01	1.00E+00
negative regulation of lyase activity (GO:0051350)	2	0	0.01	-	 < 0.01	1.00E+00
regulation of G protein-coupled receptor signaling pathway (GO:0008277)	16	0	0.08	-	 < 0.01	1.00E+00
non-canonical Wnt signaling pathway (GO:0035567)	26	0	0.13	-	 < 0.01	1.00E+00
cell chemotaxis (GO:0060326)	15	0	0.07	-	 < 0.01	1.00E+00
regulation of phospholipase activity (GO:0010517)	1	0	0	-	 < 0.01	1.00E+00
lipid localization (GO:0010876)	87	0	0.42	-	 < 0.01	1.00E+00
positive regulation of lyase activity (GO:0051349)	9	0	0.04	-	 < 0.01	1.00E+00
head development (GO:0060322)	45	0	0.22	-	 < 0.01	1.00E+00
cilium or flagellum-dependent cell motility (GO:0001539)	13	0	0.06	-	 < 0.01	1.00E+00
positive regulation of transferase activity (GO:0051347)	80	0	0.39	-	 < 0.01	1.00E+00
tricarboxylic acid cycle (GO:0006099)	18	0	0.09	-	 < 0.01	1.00E+00
negative regulation of hydrolase activity (GO:0051346)	26	0	0.13	-	 < 0.01	1.00E+00
glycolytic process (GO:0006096)	17	0	0.08	-	 < 0.01	1.00E+00
retina homeostasis (GO:0001895)	2	0	0.01	-	 < 0.01	1.00E+00
snRNA 3'-end processing (GO:0034472)	19	0	0.09	-	 < 0.01	1.00E+00
amino acid import across plasma membrane (GO:0089718)	10	0	0.05	-	 < 0.01	1.00E+00
generation of precursor metabolites and energy (GO:0006091)	68	0	0.33	-	 < 0.01	1.00E+00
"endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000447)"	2	0	0.01	-	 < 0.01	1.00E+00
transforming growth factor beta receptor signaling pathway (GO:0007179)	21	0	0.1	-	 < 0.01	1.00E+00
transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0007178)	34	0	0.16	-	 < 0.01	1.00E+00
intracellular signal transduction (GO:0035556)	343	0	1.66	-	 < 0.01	4.15E-01
positive regulation of autophagy (GO:0010508)	16	0	0.08	-	 < 0.01	1.00E+00
negative regulation of autophagy (GO:0010507)	9	0	0.04	-	 < 0.01	1.00E+00
epidermal growth factor receptor signaling pathway (GO:0007173)	12	0	0.06	-	 < 0.01	1.00E+00
regulation of autophagy (GO:0010506)	35	0	0.17	-	 < 0.01	1.00E+00
protein-RNA complex organization (GO:0071826)	75	0	0.36	-	 < 0.01	1.00E+00
regulation of lyase activity (GO:0051339)	12	0	0.06	-	 < 0.01	1.00E+00
homotypic cell-cell adhesion (GO:0034109)	7	0	0.03	-	 < 0.01	1.00E+00
regulation of transferase activity (GO:0051338)	137	0	0.66	-	 < 0.01	1.00E+00
protein-DNA complex organization (GO:0071824)	125	0	0.6	-	 < 0.01	1.00E+00
heterocycle catabolic process (GO:0046700)	116	0	0.56	-	 < 0.01	1.00E+00
liver development (GO:0001889)	2	0	0.01	-	 < 0.01	1.00E+00
regulation of tissue remodeling (GO:0034103)	4	0	0.02	-	 < 0.01	1.00E+00
retinoid metabolic process (GO:0001523)	7	0	0.03	-	 < 0.01	1.00E+00
regulation of autophagosome maturation (GO:1901096)	5	0	0.02	-	 < 0.01	1.00E+00
pseudouridine synthesis (GO:0001522)	11	0	0.05	-	 < 0.01	1.00E+00
organic acid metabolic process (GO:0006082)	218	0	1.05	-	 < 0.01	6.29E-01
tetrapyrrole metabolic process (GO:0033013)	14	0	0.07	-	 < 0.01	1.00E+00
establishment or maintenance of cell polarity (GO:0007163)	51	0	0.25	-	 < 0.01	1.00E+00
negative regulation of cell adhesion (GO:0007162)	10	0	0.05	-	 < 0.01	1.00E+00
oxoacid metabolic process (GO:0043436)	218	0	1.05	-	 < 0.01	6.29E-01
cell-matrix adhesion (GO:0007160)	32	0	0.15	-	 < 0.01	1.00E+00
response to peptide hormone (GO:0043434)	36	0	0.17	-	 < 0.01	1.00E+00
negative regulation of DNA-binding transcription factor activity (GO:0043433)	8	0	0.04	-	 < 0.01	1.00E+00
meiotic cell cycle (GO:0051321)	53	0	0.26	-	 < 0.01	1.00E+00
glycerol-3-phosphate metabolic process (GO:0006072)	5	0	0.02	-	 < 0.01	1.00E+00
RNA methylation (GO:0001510)	42	0	0.2	-	 < 0.01	1.00E+00
protein localization to organelle (GO:0033365)	188	0	0.91	-	 < 0.01	1.00E+00
mitophagy (GO:0000423)	11	0	0.05	-	 < 0.01	1.00E+00
autophagy of mitochondrion (GO:0000422)	40	0	0.19	-	 < 0.01	1.00E+00
secretory granule organization (GO:0033363)	2	0	0.01	-	 < 0.01	1.00E+00
leukocyte cell-cell adhesion (GO:0007159)	1	0	0	-	 < 0.01	1.00E+00
carboxylic acid metabolic process (GO:0019752)	216	0	1.04	-	 < 0.01	6.28E-01
heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules (GO:0007157)	15	0	0.07	-	 < 0.01	1.00E+00
positive regulation of protein polymerization (GO:0032273)	15	0	0.07	-	 < 0.01	1.00E+00
protein transmembrane transport (GO:0071806)	27	0	0.13	-	 < 0.01	1.00E+00
negative regulation of protein polymerization (GO:0032272)	23	0	0.11	-	 < 0.01	1.00E+00
potassium ion transmembrane transport (GO:0071805)	94	0	0.45	-	 < 0.01	1.00E+00
regulation of protein polymerization (GO:0032271)	51	0	0.25	-	 < 0.01	1.00E+00
attachment of mitotic spindle microtubules to kinetochore (GO:0051315)	5	0	0.02	-	 < 0.01	1.00E+00
alcohol metabolic process (GO:0006066)	58	0	0.28	-	 < 0.01	1.00E+00
substrate adhesion-dependent cell spreading (GO:0034446)	13	0	0.06	-	 < 0.01	1.00E+00
ossification (GO:0001503)	12	0	0.06	-	 < 0.01	1.00E+00
metaphase chromosome alignment (GO:0051310)	9	0	0.04	-	 < 0.01	1.00E+00
skeletal system development (GO:0001501)	31	0	0.15	-	 < 0.01	1.00E+00
protein localization to cell periphery (GO:1990778)	54	0	0.26	-	 < 0.01	1.00E+00
replication-born double-strand break repair via sister chromatid exchange (GO:1990414)	3	0	0.01	-	 < 0.01	1.00E+00
lipid oxidation (GO:0034440)	25	0	0.12	-	 < 0.01	1.00E+00
positive regulation of natural killer cell mediated cytotoxicity (GO:0045954)	2	0	0.01	-	 < 0.01	1.00E+00
myeloid cell differentiation (GO:0030099)	10	0	0.05	-	 < 0.01	1.00E+00
phytosteroid metabolic process (GO:0016128)	1	0	0	-	 < 0.01	1.00E+00
secondary metabolic process (GO:0019748)	5	0	0.02	-	 < 0.01	1.00E+00
lymphocyte differentiation (GO:0030098)	10	0	0.05	-	 < 0.01	1.00E+00
hemopoiesis (GO:0030097)	28	0	0.14	-	 < 0.01	1.00E+00
protein peptidyl-prolyl isomerization (GO:0000413)	17	0	0.08	-	 < 0.01	1.00E+00
sterol biosynthetic process (GO:0016126)	12	0	0.06	-	 < 0.01	1.00E+00
regulation of Notch signaling pathway (GO:0008593)	13	0	0.06	-	 < 0.01	1.00E+00
sterol metabolic process (GO:0016125)	21	0	0.1	-	 < 0.01	1.00E+00
protein processing (GO:0016485)	54	0	0.26	-	 < 0.01	1.00E+00
male meiotic nuclear division (GO:0007140)	4	0	0.02	-	 < 0.01	1.00E+00
macromolecule methylation (GO:0043414)	58	0	0.28	-	 < 0.01	1.00E+00
telomere maintenance via telomere lengthening (GO:0010833)	8	0	0.04	-	 < 0.01	1.00E+00
mitotic sister chromatid separation (GO:0051306)	1	0	0	-	 < 0.01	1.00E+00
protein transport (GO:0015031)	229	0	1.11	-	 < 0.01	6.30E-01
positive regulation of MAPK cascade (GO:0043410)	70	0	0.34	-	 < 0.01	1.00E+00
chromosome separation (GO:0051304)	2	0	0.01	-	 < 0.01	1.00E+00
response to radiation (GO:0009314)	33	0	0.16	-	 < 0.01	1.00E+00
establishment of chromosome localization (GO:0051303)	13	0	0.06	-	 < 0.01	1.00E+00
regulation of cell division (GO:0051302)	8	0	0.04	-	 < 0.01	1.00E+00
oligosaccharide biosynthetic process (GO:0009312)	2	0	0.01	-	 < 0.01	1.00E+00
cell division (GO:0051301)	40	0	0.19	-	 < 0.01	1.00E+00
positive regulation of phosphorylation (GO:0042327)	126	0	0.61	-	 < 0.01	1.00E+00
negative regulation of phosphorylation (GO:0042326)	33	0	0.16	-	 < 0.01	1.00E+00
regulation of phosphorylation (GO:0042325)	184	0	0.89	-	 < 0.01	1.00E+00
positive regulation of transcription by RNA polymerase I (GO:0045943)	5	0	0.02	-	 < 0.01	1.00E+00
syncytium formation by plasma membrane fusion (GO:0000768)	3	0	0.01	-	 < 0.01	1.00E+00
carotenoid biosynthetic process (GO:0016117)	1	0	0	-	 < 0.01	1.00E+00
male gonad development (GO:0008584)	1	0	0	-	 < 0.01	1.00E+00
cholesterol efflux (GO:0033344)	8	0	0.04	-	 < 0.01	1.00E+00
cell migration (GO:0016477)	169	0	0.82	-	 < 0.01	1.00E+00
terpenoid biosynthetic process (GO:0016114)	6	0	0.03	-	 < 0.01	1.00E+00
antimicrobial humoral response (GO:0019730)	1	0	0	-	 < 0.01	1.00E+00
methylation (GO:0032259)	58	0	0.28	-	 < 0.01	1.00E+00
mesoderm development (GO:0007498)	7	0	0.03	-	 < 0.01	1.00E+00
negative regulation of MAPK cascade (GO:0043409)	25	0	0.12	-	 < 0.01	1.00E+00
regulation of MAPK cascade (GO:0043408)	118	0	0.57	-	 < 0.01	1.00E+00
reciprocal meiotic recombination (GO:0007131)	23	0	0.11	-	 < 0.01	1.00E+00
regulation of MAP kinase activity (GO:0043405)	20	0	0.1	-	 < 0.01	1.00E+00
endoderm development (GO:0007492)	7	0	0.03	-	 < 0.01	1.00E+00
amine metabolic process (GO:0009308)	19	0	0.09	-	 < 0.01	1.00E+00
regulation of centrosome duplication (GO:0010824)	6	0	0.03	-	 < 0.01	1.00E+00
protein secretion (GO:0009306)	21	0	0.1	-	 < 0.01	1.00E+00
steroid hormone mediated signaling pathway (GO:0043401)	3	0	0.01	-	 < 0.01	1.00E+00
UDP-N-acetylglucosamine metabolic process (GO:0006047)	5	0	0.02	-	 < 0.01	1.00E+00
regulation of mitochondrion organization (GO:0010821)	11	0	0.05	-	 < 0.01	1.00E+00
establishment of organelle localization (GO:0051656)	91	0	0.44	-	 < 0.01	1.00E+00
rRNA transcription (GO:0009303)	7	0	0.03	-	 < 0.01	1.00E+00
rRNA methylation (GO:0031167)	11	0	0.05	-	 < 0.01	1.00E+00
phagolysosome assembly (GO:0001845)	9	0	0.04	-	 < 0.01	1.00E+00
spindle localization (GO:0051653)	18	0	0.09	-	 < 0.01	1.00E+00
positive regulation of phosphate metabolic process (GO:0045937)	130	0	0.63	-	 < 0.01	1.00E+00
negative regulation of phosphate metabolic process (GO:0045936)	36	0	0.17	-	 < 0.01	1.00E+00
maintenance of location in cell (GO:0051651)	18	0	0.09	-	 < 0.01	1.00E+00
establishment of vesicle localization (GO:0051650)	36	0	0.17	-	 < 0.01	1.00E+00
amino sugar metabolic process (GO:0006040)	14	0	0.07	-	 < 0.01	1.00E+00
positive regulation of mitotic cell cycle (GO:0045931)	15	0	0.07	-	 < 0.01	1.00E+00
negative regulation of mitotic cell cycle (GO:0045930)	37	0	0.18	-	 < 0.01	1.00E+00
negative regulation of mitotic sister chromatid separation (GO:2000816)	9	0	0.04	-	 < 0.01	1.00E+00
cellular homeostasis (GO:0019725)	148	0	0.71	-	 < 0.01	1.00E+00
insulin secretion (GO:0030073)	2	0	0.01	-	 < 0.01	1.00E+00
homologous chromosome pairing at meiosis (GO:0007129)	6	0	0.03	-	 < 0.01	1.00E+00
calcium-mediated signaling (GO:0019722)	30	0	0.14	-	 < 0.01	1.00E+00
peptide hormone secretion (GO:0030072)	3	0	0.01	-	 < 0.01	1.00E+00
diterpenoid metabolic process (GO:0016101)	7	0	0.03	-	 < 0.01	1.00E+00
regulation of mitotic metaphase/anaphase transition (GO:0030071)	16	0	0.08	-	 < 0.01	1.00E+00
cell cycle G1/S phase transition (GO:0044843)	17	0	0.08	-	 < 0.01	1.00E+00
meiosis I (GO:0007127)	28	0	0.14	-	 < 0.01	1.00E+00
regulation of hormone levels (GO:0010817)	27	0	0.13	-	 < 0.01	1.00E+00
vesicle localization (GO:0051648)	37	0	0.18	-	 < 0.01	1.00E+00
positive regulation of cell-substrate adhesion (GO:0010811)	11	0	0.05	-	 < 0.01	1.00E+00
regulation of cell-substrate adhesion (GO:0010810)	13	0	0.06	-	 < 0.01	1.00E+00
release of cytochrome c from mitochondria (GO:0001836)	5	0	0.02	-	 < 0.01	1.00E+00
positive regulation of growth (GO:0045927)	4	0	0.02	-	 < 0.01	1.00E+00
centrosome localization (GO:0051642)	8	0	0.04	-	 < 0.01	1.00E+00
organelle localization (GO:0051640)	123	0	0.59	-	 < 0.01	1.00E+00
mitochondrial transcription (GO:0006390)	6	0	0.03	-	 < 0.01	1.00E+00
reticulophagy (GO:0061709)	9	0	0.04	-	 < 0.01	1.00E+00
cholesterol metabolic process (GO:0008203)	15	0	0.07	-	 < 0.01	1.00E+00
cell cycle G2/M phase transition (GO:0044839)	4	0	0.02	-	 < 0.01	1.00E+00
steroid metabolic process (GO:0008202)	28	0	0.14	-	 < 0.01	1.00E+00
positive regulation of actin filament bundle assembly (GO:0032233)	7	0	0.03	-	 < 0.01	1.00E+00
regulation of actin filament bundle assembly (GO:0032231)	10	0	0.05	-	 < 0.01	1.00E+00
proteoglycan metabolic process (GO:0006029)	30	0	0.14	-	 < 0.01	1.00E+00
left/right pattern formation (GO:0060972)	2	0	0.01	-	 < 0.01	1.00E+00
glucose transmembrane transport (GO:1904659)	7	0	0.03	-	 < 0.01	1.00E+00
"tRNA splicing, via endonucleolytic cleavage and ligation (GO:0006388)"	4	0	0.02	-	 < 0.01	1.00E+00
glycosaminoglycan biosynthetic process (GO:0006024)	15	0	0.07	-	 < 0.01	1.00E+00
SCF-dependent proteasomal ubiquitin-dependent protein catabolic process (GO:0031146)	15	0	0.07	-	 < 0.01	1.00E+00
aminoglycan biosynthetic process (GO:0006023)	19	0	0.09	-	 < 0.01	1.00E+00
anaphase-promoting complex-dependent catabolic process (GO:0031145)	9	0	0.04	-	 < 0.01	1.00E+00
regulation of monoatomic ion transmembrane transport (GO:0034765)	60	0	0.29	-	 < 0.01	1.00E+00
aminoglycan metabolic process (GO:0006022)	27	0	0.13	-	 < 0.01	1.00E+00
kidney development (GO:0001822)	8	0	0.04	-	 < 0.01	1.00E+00
transcription by RNA polymerase III (GO:0006383)	15	0	0.07	-	 < 0.01	1.00E+00
adenosine to inosine editing (GO:0006382)	4	0	0.02	-	 < 0.01	1.00E+00
regulation of transmembrane transport (GO:0034762)	71	0	0.34	-	 < 0.01	1.00E+00
negative regulation of DNA recombination (GO:0045910)	6	0	0.03	-	 < 0.01	1.00E+00
mitotic DNA replication checkpoint signaling (GO:0033314)	4	0	0.02	-	 < 0.01	1.00E+00
positive regulation of kinase activity (GO:0033674)	79	0	0.38	-	 < 0.01	1.00E+00
DNA synthesis involved in DNA repair (GO:0000731)	14	0	0.07	-	 < 0.01	1.00E+00
somatic cell DNA recombination (GO:0016444)	2	0	0.01	-	 < 0.01	1.00E+00
regulation of organelle assembly (GO:1902115)	21	0	0.1	-	 < 0.01	1.00E+00
chloride transmembrane transport (GO:1902476)	34	0	0.16	-	 < 0.01	1.00E+00
L-alpha-amino acid transmembrane transport (GO:1902475)	15	0	0.07	-	 < 0.01	1.00E+00
regulation of cellular response to growth factor stimulus (GO:0090287)	46	0	0.22	-	 < 0.01	1.00E+00
positive regulation of cytokine production (GO:0001819)	9	0	0.04	-	 < 0.01	1.00E+00
regulation of cytokine production (GO:0001817)	24	0	0.12	-	 < 0.01	1.00E+00
mRNA polyadenylation (GO:0006378)	5	0	0.02	-	 < 0.01	1.00E+00
response to toxic substance (GO:0009636)	9	0	0.04	-	 < 0.01	1.00E+00
cytokine production (GO:0001816)	5	0	0.02	-	 < 0.01	1.00E+00
mRNA splice site recognition (GO:0006376)	12	0	0.06	-	 < 0.01	1.00E+00
negative regulation of chromosome segregation (GO:0051985)	9	0	0.04	-	 < 0.01	1.00E+00
iron ion transmembrane transport (GO:0034755)	4	0	0.02	-	 < 0.01	1.00E+00
regulation of chromosome segregation (GO:0051983)	21	0	0.1	-	 < 0.01	1.00E+00
response to extracellular stimulus (GO:0009991)	37	0	0.18	-	 < 0.01	1.00E+00
DNA double-strand break processing (GO:0000729)	4	0	0.02	-	 < 0.01	1.00E+00
double-strand break repair via break-induced replication (GO:0000727)	9	0	0.04	-	 < 0.01	1.00E+00
actin filament-based movement (GO:0030048)	16	0	0.08	-	 < 0.01	1.00E+00
recombinational repair (GO:0000725)	57	0	0.28	-	 < 0.01	1.00E+00
epidermis development (GO:0008544)	4	0	0.02	-	 < 0.01	1.00E+00
mitotic G2/M transition checkpoint (GO:0044818)	12	0	0.06	-	 < 0.01	1.00E+00
double-strand break repair via homologous recombination (GO:0000724)	57	0	0.28	-	 < 0.01	1.00E+00
fibroblast growth factor receptor signaling pathway (GO:0008543)	25	0	0.12	-	 < 0.01	1.00E+00
telomere maintenance (GO:0000723)	26	0	0.13	-	 < 0.01	1.00E+00
actin filament depolymerization (GO:0030042)	8	0	0.04	-	 < 0.01	1.00E+00
actin filament polymerization (GO:0030041)	11	0	0.05	-	 < 0.01	1.00E+00
regulation of peptide hormone secretion (GO:0090276)	6	0	0.03	-	 < 0.01	1.00E+00
negative regulation of metaphase/anaphase transition of cell cycle (GO:1902100)	9	0	0.04	-	 < 0.01	1.00E+00
response to abiotic stimulus (GO:0009628)	76	0	0.37	-	 < 0.01	1.00E+00
organelle fusion (GO:0048284)	58	0	0.28	-	 < 0.01	1.00E+00
transcription elongation by RNA polymerase II (GO:0006368)	13	0	0.06	-	 < 0.01	1.00E+00
cell-cell recognition (GO:0009988)	1	0	0	-	 < 0.01	1.00E+00
transcription initiation at RNA polymerase II promoter (GO:0006367)	23	0	0.11	-	 < 0.01	1.00E+00
regulation of potassium ion transmembrane transport (GO:1901379)	14	0	0.07	-	 < 0.01	1.00E+00
transcription by RNA polymerase II (GO:0006366)	56	0	0.27	-	 < 0.01	1.00E+00
rRNA processing (GO:0006364)	91	0	0.44	-	 < 0.01	1.00E+00
mRNA 3'-end processing (GO:0031124)	17	0	0.08	-	 < 0.01	1.00E+00
RNA 3'-end processing (GO:0031123)	43	0	0.21	-	 < 0.01	1.00E+00
transcription elongation by RNA polymerase I (GO:0006362)	3	0	0.01	-	 < 0.01	1.00E+00
cytoplasmic microtubule organization (GO:0031122)	22	0	0.11	-	 < 0.01	1.00E+00
transcription by RNA polymerase I (GO:0006360)	11	0	0.05	-	 < 0.01	1.00E+00
lipid homeostasis (GO:0055088)	26	0	0.13	-	 < 0.01	1.00E+00
cholesterol homeostasis (GO:0042632)	8	0	0.04	-	 < 0.01	1.00E+00
contractile actin filament bundle assembly (GO:0030038)	5	0	0.02	-	 < 0.01	1.00E+00
nucleobase-containing small molecule metabolic process (GO:0055086)	152	0	0.73	-	 < 0.01	1.00E+00
respiratory chain complex IV assembly (GO:0008535)	1	0	0	-	 < 0.01	1.00E+00
actin cytoskeleton organization (GO:0030036)	225	0	1.09	-	 < 0.01	6.30E-01
resolution of meiotic recombination intermediates (GO:0000712)	13	0	0.06	-	 < 0.01	1.00E+00
intracellular chemical homeostasis (GO:0055082)	123	0	0.59	-	 < 0.01	1.00E+00
regulation of postsynapse organization (GO:0099175)	10	0	0.05	-	 < 0.01	1.00E+00
monoatomic cation homeostasis (GO:0055080)	132	0	0.64	-	 < 0.01	1.00E+00
cell projection assembly (GO:0030031)	132	0	0.64	-	 < 0.01	1.00E+00
homologous recombination (GO:0035825)	23	0	0.11	-	 < 0.01	1.00E+00
regulation of telomere maintenance (GO:0032204)	6	0	0.03	-	 < 0.01	1.00E+00
inorganic anion transport (GO:0015698)	49	0	0.24	-	 < 0.01	1.00E+00
quaternary ammonium group transport (GO:0015697)	5	0	0.02	-	 < 0.01	1.00E+00
telomere organization (GO:0032200)	26	0	0.13	-	 < 0.01	1.00E+00
organic cation transport (GO:0015695)	6	0	0.03	-	 < 0.01	1.00E+00
defense response to virus (GO:0051607)	3	0	0.01	-	 < 0.01	1.00E+00
response to bacterium (GO:0009617)	15	0	0.07	-	 < 0.01	1.00E+00
positive regulation of canonical Wnt signaling pathway (GO:0090263)	20	0	0.1	-	 < 0.01	1.00E+00
detection of stimulus (GO:0051606)	25	0	0.12	-	 < 0.01	1.00E+00
